TPR:0.19775,FPR:0.193,Pr:0.5060780550223928,F1:0.28437893223081073,AUC:0.502375
TPR:0.196,FPR:0.18875,Pr:0.5094217024041585,F1:0.28308358909550463,AUC:0.503625
TPR:0.192,FPR:0.184,Pr:0.5106382978723404,F1:0.27906976744186046,AUC:0.504
TPR:0.19075,FPR:0.185,Pr:0.5076513639387891,F1:0.27730328911502816,AUC:0.502875
TPR:0.19175,FPR:0.1875,Pr:0.5056031641397495,F1:0.27804966467282943,AUC:0.502125
TPR:0.19625,FPR:0.1885,Pr:0.5100714749837557,F1:0.28344466510200395,AUC:0.5038750000000001
TPR:0.19825,FPR:0.192,Pr:0.5080076873798847,F1:0.28520050350656356,AUC:0.503125
TPR:0.193,FPR:0.18675,Pr:0.5082290980908493,F1:0.27976082623663706,AUC:0.503125
TPR:0.18875,FPR:0.1835,Pr:0.5070517125587642,F1:0.2750956458371288,AUC:0.502625
TPR:0.18525,FPR:0.1805,Pr:0.5064935064935064,F1:0.27127951674903894,AUC:0.5023749999999999
TPR:0.18225,FPR:0.17775,Pr:0.50625,F1:0.26801470588235293,AUC:0.5022500000000001
TPR:0.17875,FPR:0.172,Pr:0.5096222380612973,F1:0.2646677771608366,AUC:0.503375
TPR:0.1765,FPR:0.16975,Pr:0.5097472924187726,F1:0.26220984215413184,AUC:0.5033749999999999
TPR:0.17625,FPR:0.17025,Pr:0.5086580086580087,F1:0.26178982547344964,AUC:0.503
TPR:0.17275,FPR:0.16725,Pr:0.5080882352941176,F1:0.25783582089552237,AUC:0.5027499999999999
TPR:0.17275,FPR:0.17125,Pr:0.5021802325581395,F1:0.2570684523809524,AUC:0.5007499999999999
TPR:0.175,FPR:0.17475,Pr:0.5003573981415297,F1:0.259307279125764,AUC:0.500125
TPR:0.17275,FPR:0.1725,Pr:0.500362056480811,F1:0.2568295855788887,AUC:0.500125
TPR:0.169,FPR:0.1675,Pr:0.5022288261515602,F1:0.25289936401047514,AUC:0.50075
TPR:0.1745,FPR:0.1715,Pr:0.5043352601156069,F1:0.25928677563150077,AUC:0.5015000000000001
TPR:0.16325,FPR:0.16225,Pr:0.5015360983102919,F1:0.24632214258770277,AUC:0.5005000000000001
TPR:0.16,FPR:0.15875,Pr:0.5019607843137255,F1:0.24265402843601896,AUC:0.500625
TPR:0.1625,FPR:0.1625,Pr:0.5,F1:0.24528301886792456,AUC:0.5000000000000001
TPR:0.164,FPR:0.1645,Pr:0.4992389649923896,F1:0.24689499435453516,AUC:0.49975
TPR:0.1665,FPR:0.16675,Pr:0.49962490622655664,F1:0.24976561035064693,AUC:0.49987500000000007
TPR:0.16325,FPR:0.1635,Pr:0.4996174445294568,F1:0.24609006971923875,AUC:0.49987500000000007
TPR:0.1685,FPR:0.1665,Pr:0.5029850746268657,F1:0.252434456928839,AUC:0.5010000000000001
TPR:0.1625,FPR:0.15875,Pr:0.5058365758754864,F1:0.24597918637653737,AUC:0.5018750000000001
TPR:0.1705,FPR:0.17075,Pr:0.49963369963369964,F1:0.25424044734389567,AUC:0.49987500000000007
TPR:0.17225,FPR:0.17375,Pr:0.49783236994219654,F1:0.25594353640416045,AUC:0.49925
TPR:0.17325,FPR:0.17175,Pr:0.5021739130434782,F1:0.25762081784386615,AUC:0.5007499999999999
TPR:0.1745,FPR:0.17075,Pr:0.5054308472121651,F1:0.25943133246608435,AUC:0.5018750000000001
TPR:0.17475,FPR:0.172,Pr:0.5039653929343908,F1:0.2595136439576759,AUC:0.501375
TPR:0.17875,FPR:0.17325,Pr:0.5078125,F1:0.2644230769230769,AUC:0.5027499999999999
TPR:0.1795,FPR:0.17675,Pr:0.503859649122807,F1:0.26470046082949306,AUC:0.501375
TPR:0.179,FPR:0.17725,Pr:0.5024561403508772,F1:0.26396313364055296,AUC:0.500875
TPR:0.18,FPR:0.17975,Pr:0.5003474635163307,F1:0.26475455046883617,AUC:0.5001249999999999
TPR:0.18325,FPR:0.18225,Pr:0.5013679890560876,F1:0.2683998535335042,AUC:0.5005
TPR:0.18575,FPR:0.1815,Pr:0.505786249149081,F1:0.27171329310660086,AUC:0.502125
TPR:0.18,FPR:0.1775,Pr:0.5034965034965035,F1:0.2651933701657459,AUC:0.50125
TPR:0.18775,FPR:0.185,Pr:0.5036887994634474,F1:0.2735385175742124,AUC:0.501375
TPR:0.18425,FPR:0.18225,Pr:0.5027285129604365,F1:0.26966703256494695,AUC:0.501
TPR:0.1755,FPR:0.17325,Pr:0.5032258064516129,F1:0.26024096385542167,AUC:0.501125
TPR:0.17675,FPR:0.175,Pr:0.5024875621890548,F1:0.26151285370815613,AUC:0.500875
TPR:0.1795,FPR:0.17675,Pr:0.503859649122807,F1:0.26470046082949306,AUC:0.501375
TPR:0.1825,FPR:0.178,Pr:0.5062413314840499,F1:0.2682837192208747,AUC:0.5022500000000001
TPR:0.186,FPR:0.181,Pr:0.5068119891008175,F1:0.2721287490855889,AUC:0.5025
TPR:0.195,FPR:0.18825,Pr:0.5088062622309197,F1:0.28194469546358214,AUC:0.503375
TPR:0.1915,FPR:0.18575,Pr:0.5076209410205434,F1:0.27809039753131237,AUC:0.502875
TPR:0.1845,FPR:0.17775,Pr:0.5093167701863354,F1:0.2708753899798128,AUC:0.5033749999999999
TPR:0.17975,FPR:0.1725,Pr:0.5102909865152591,F1:0.2658532076169347,AUC:0.5036250000000001
