TPR:0.151,FPR:0.1335,Pr:0.5307557117750439,F1:0.23511093810821326,AUC:0.50875
TPR:0.159,FPR:0.14125,Pr:0.5295587010824313,F1:0.24456835223995385,AUC:0.5088750000000001
TPR:0.1565,FPR:0.13725,Pr:0.5327659574468085,F1:0.24193236714975846,AUC:0.509625
TPR:0.1605,FPR:0.13925,Pr:0.5354462051709759,F1:0.24697057126370456,AUC:0.510625
TPR:0.17175,FPR:0.14625,Pr:0.5400943396226415,F1:0.2606221547799697,AUC:0.51275
TPR:0.17325,FPR:0.1445,Pr:0.5452399685287176,F1:0.26294820717131473,AUC:0.5143749999999999
TPR:0.18,FPR:0.14625,Pr:0.5517241379310345,F1:0.27144203581526866,AUC:0.516875
TPR:0.17675,FPR:0.14375,Pr:0.5514820592823713,F1:0.2677016281711473,AUC:0.5165
TPR:0.1825,FPR:0.148,Pr:0.5521936459909228,F1:0.27433295753476133,AUC:0.51725
TPR:0.17875,FPR:0.1455,Pr:0.551272166538165,F1:0.2699641306399849,AUC:0.516625
TPR:0.17725,FPR:0.14325,Pr:0.5530421216848674,F1:0.2684589170768648,AUC:0.517
TPR:0.18525,FPR:0.15225,Pr:0.5488888888888889,F1:0.2770093457943925,AUC:0.5165
TPR:0.18625,FPR:0.155,Pr:0.5457875457875457,F1:0.27772600186393287,AUC:0.515625
TPR:0.187,FPR:0.1555,Pr:0.545985401459854,F1:0.278584729981378,AUC:0.51575
TPR:0.19425,FPR:0.16225,Pr:0.5448807854137447,F1:0.2863988204939182,AUC:0.516
TPR:0.19175,FPR:0.16275,Pr:0.5409026798307476,F1:0.28313030638612036,AUC:0.5145000000000001
TPR:0.18725,FPR:0.163,Pr:0.5346181299072091,F1:0.2773560451768191,AUC:0.5121249999999999
TPR:0.1885,FPR:0.164,Pr:0.5347517730496454,F1:0.2787430683918669,AUC:0.51225
TPR:0.19225,FPR:0.16675,Pr:0.5355153203342619,F1:0.2829286239882266,AUC:0.51275
TPR:0.1965,FPR:0.17325,Pr:0.5314401622718052,F1:0.2869136703778062,AUC:0.5116249999999999
TPR:0.197,FPR:0.17225,Pr:0.5335138794854435,F1:0.2877487675734891,AUC:0.512375
TPR:0.19575,FPR:0.17075,Pr:0.534106412005457,F1:0.2864983534577388,AUC:0.5125000000000001
TPR:0.187,FPR:0.16175,Pr:0.5362007168458781,F1:0.2772937905468026,AUC:0.512625
TPR:0.18275,FPR:0.1605,Pr:0.5324107793153678,F1:0.2721012469756189,AUC:0.511125
TPR:0.174,FPR:0.1535,Pr:0.5312977099236641,F1:0.2621468926553672,AUC:0.51025
TPR:0.16025,FPR:0.14475,Pr:0.5254098360655738,F1:0.24559386973180075,AUC:0.50775
TPR:0.17075,FPR:0.15525,Pr:0.5237730061349694,F1:0.25754147812971345,AUC:0.50775
TPR:0.16725,FPR:0.152,Pr:0.523884103367267,F1:0.25355315520181926,AUC:0.507625
TPR:0.166,FPR:0.146,Pr:0.532051282051282,F1:0.2530487804878049,AUC:0.5099999999999999
TPR:0.168,FPR:0.14675,Pr:0.5337569499602859,F1:0.255561893896178,AUC:0.510625
TPR:0.165,FPR:0.1405,Pr:0.5400981996726678,F1:0.2527767139027193,AUC:0.51225
TPR:0.16575,FPR:0.13925,Pr:0.5434426229508197,F1:0.25402298850574717,AUC:0.5132500000000001
TPR:0.1595,FPR:0.1325,Pr:0.5462328767123288,F1:0.24690402476780185,AUC:0.5135
TPR:0.1615,FPR:0.13,Pr:0.5540308747855918,F1:0.25009678668215257,AUC:0.51575
TPR:0.15275,FPR:0.12025,Pr:0.5595238095238095,F1:0.23998428908091127,AUC:0.51625
TPR:0.1445,FPR:0.11175,Pr:0.5639024390243902,F1:0.2300497512437811,AUC:0.516375
TPR:0.1435,FPR:0.107,Pr:0.5728542914171657,F1:0.22950819672131148,AUC:0.51825
TPR:0.13025,FPR:0.09925,Pr:0.5675381263616558,F1:0.2118747458316389,AUC:0.5155
TPR:0.135,FPR:0.10475,Pr:0.5630865484880083,F1:0.21778584392014522,AUC:0.5151249999999999
TPR:0.12375,FPR:0.09475,Pr:0.5663615560640732,F1:0.20311858842839556,AUC:0.5145000000000001
TPR:0.12225,FPR:0.095,Pr:0.5627157652474108,F1:0.2008626001232286,AUC:0.513625
TPR:0.119,FPR:0.09125,Pr:0.5659928656361475,F1:0.1966535839702541,AUC:0.513875
TPR:0.11175,FPR:0.0855,Pr:0.5665399239543726,F1:0.1866778032992274,AUC:0.513125
TPR:0.11625,FPR:0.09225,Pr:0.5575539568345323,F1:0.19238725693007863,AUC:0.512
TPR:0.1185,FPR:0.0945,Pr:0.5563380281690141,F1:0.19538334707337182,AUC:0.512
TPR:0.12125,FPR:0.1,Pr:0.5480225988700564,F1:0.1985670419651996,AUC:0.510625
TPR:0.1175,FPR:0.094,Pr:0.5555555555555556,F1:0.19397441188609166,AUC:0.5117499999999999
TPR:0.12775,FPR:0.09875,Pr:0.5640176600441501,F1:0.20831634732980023,AUC:0.5145
TPR:0.1355,FPR:0.111,Pr:0.5496957403651116,F1:0.21740874448455677,AUC:0.51225
TPR:0.13475,FPR:0.10775,Pr:0.5556701030927835,F1:0.21690140845070424,AUC:0.5135
TPR:0.13775,FPR:0.1145,Pr:0.5460852329038652,F1:0.22000399281293673,AUC:0.511625
