TPR:0.6606380306455665,FPR:0.2859266600594648,Pr:0.695031712473573,F1:0.677398583386993,AUC:0.6873556852930509
TPR:0.6390354182366239,FPR:0.2628840436075322,Pr:0.7056865464632455,F1:0.6707092011600316,AUC:0.6880756873145458
TPR:0.630997236875157,FPR:0.2537165510406343,Pr:0.7104072398190046,F1:0.6683517360649195,AUC:0.6886403429172614
TPR:0.6546093946244662,FPR:0.2732903865213082,Pr:0.7026152601779455,F1:0.6777633289986996,AUC:0.6906595040515789
TPR:0.6553629741271038,FPR:0.2732903865213082,Pr:0.7028556034482759,F1:0.6782789548940595,AUC:0.6910362938028978
TPR:0.6337603617181613,FPR:0.2576808721506442,Pr:0.7081111422958182,F1:0.6688759278897137,AUC:0.6880397447837585
TPR:0.6586284853051997,FPR:0.2591674925668979,Pr:0.7148309705561614,F1:0.6855798143548176,AUC:0.699730496369151
TPR:0.6297412710374278,FPR:0.2666005946481665,Pr:0.6996929946971812,F1:0.662876784769963,AUC:0.6815703381946306
TPR:0.64230092941472,FPR:0.26486620416253714,Pr:0.705184776613348,F1:0.6722755356908111,AUC:0.6887173626260914
TPR:0.6433057020849033,FPR:0.2601585728444004,Pr:0.7092218222099141,F1:0.6746575342465754,AUC:0.6915735646202514
TPR:0.6214518965084149,FPR:0.239593657086224,Pr:0.7189770415576867,F1:0.6666666666666666,AUC:0.6909291197110955
TPR:0.6289876915347903,FPR:0.24900891972249753,Pr:0.713593616414933,F1:0.6686248331108144,AUC:0.6899893859061463
TPR:0.6473247927656368,FPR:0.26362735381565905,Pr:0.7077725899478166,F1:0.6762004723169772,AUC:0.6918487194749889
TPR:0.6450640542577242,FPR:0.26090188305252726,Pr:0.7091963545981773,F1:0.6756116811365429,AUC:0.6920810856025984
TPR:0.6272293393619693,FPR:0.2460356788899901,Pr:0.7154727793696275,F1:0.6684513452014456,AUC:0.6905968302359896
TPR:0.6410449635769907,FPR:0.2700693756194252,Pr:0.700713893465129,F1:0.6695526695526696,AUC:0.6854877939787827
TPR:0.6671690530017583,FPR:0.2906342913776016,Pr:0.6936536954818491,F1:0.6801536491677337,AUC:0.6882673808120783
TPR:0.6478271791007285,FPR:0.26858275520317143,Pr:0.704067704067704,F1:0.6747776033490319,AUC:0.6896222119487785
TPR:0.6701833710123085,FPR:0.2978196233894945,Pr:0.689405684754522,F1:0.6796586422111834,AUC:0.686181873811407
TPR:0.6199447375031399,FPR:0.23637264618434092,Pr:0.7212156633547633,F1:0.6667567202485479,AUC:0.6917860456593995
TPR:0.6375282592313489,FPR:0.2626362735381566,Pr:0.7053918843802113,F1:0.669745348990632,AUC:0.6874459928465961
TPR:0.6488319517709118,FPR:0.27403369672943506,Pr:0.7001897533206831,F1:0.6735332464146023,AUC:0.6873991275207384
TPR:0.6513438834463703,FPR:0.27229930624380577,Pr:0.702329360780065,F1:0.675876449889222,AUC:0.6895222886012824
TPR:0.6438080884199949,FPR:0.26337958374628345,Pr:0.7068394925537783,F1:0.6738530301038517,AUC:0.6902142523368557
TPR:0.6433057020849033,FPR:0.260406342913776,Pr:0.7090254706533776,F1:0.6745686816804952,AUC:0.6914496795855637
TPR:0.6387842250690782,FPR:0.26437066402378595,Pr:0.7044321329639889,F1:0.6700039520484784,AUC:0.687206780522646
TPR:0.6387842250690782,FPR:0.2527254707631318,Pr:0.7137243895593601,F1:0.6741781548250266,AUC:0.6930293771529732
TPR:0.6586284853051997,FPR:0.28121902874132804,Pr:0.6978972584508917,F1:0.6776944947014732,AUC:0.6887047282819357
TPR:0.6767143933685004,FPR:0.30203171456888006,Pr:0.6884743163812931,F1:0.6825437040790474,AUC:0.6873413393998102
TPR:0.6440592815875408,FPR:0.277998017839445,Pr:0.695604991861096,F1:0.6688404851962958,AUC:0.6830306318740479
