TPR:0.6922511034820991,FPR:0.5181518151815182,Pr:0.5803865131578947,F1:0.6314023708342653,AUC:0.5870496441502904
TPR:0.6924963217263365,FPR:0.5148514851485149,Pr:0.5820280296784831,F1:0.632474804031355,AUC:0.5888224182889108
TPR:0.6733692986758215,FPR:0.4755013962934755,Pr:0.5945009742368478,F1:0.631482120271358,AUC:0.598933951191173
TPR:0.6817067189798921,FPR:0.49784209190149786,Pr:0.5863741826618857,F1:0.6304569679101939,AUC:0.5919323135391972
TPR:0.6787641000490436,FPR:0.49352627570449353,Pr:0.5874363327674024,F1:0.629806598407281,AUC:0.592618912172275
TPR:0.6493379107405591,FPR:0.4638233054074638,Pr:0.591731843575419,F1:0.619197942242488,AUC:0.5927573026665476
TPR:0.679009318293281,FPR:0.5102817974105103,Pr:0.5794099183929693,F1:0.6252681494862821,AUC:0.5843637604413854
TPR:0.63805787150564,FPR:0.46001523229246,Pr:0.5894879927503398,F1:0.6128120584079133,AUC:0.58902131960659
TPR:0.6883276115743011,FPR:0.48946433104848946,Pr:0.5928194297782471,F1:0.637013502779984,AUC:0.5994316402629059
TPR:0.679009318293281,FPR:0.4838791571464839,Pr:0.5922994652406417,F1:0.6326973609048326,AUC:0.5975650805733985
TPR:0.6792545365375184,FPR:0.48565625793348566,Pr:0.5915011744608157,F1:0.6323479054902408,AUC:0.5967991393020164
TPR:0.6660127513487003,FPR:0.5062198527545062,Pr:0.5766454352441613,F1:0.6181156121984523,AUC:0.579896449297097
TPR:0.6390387444825895,FPR:0.4442751967504443,Pr:0.5982552800734618,F1:0.6179748636471425,AUC:0.5973817738660725
TPR:0.6368317802844532,FPR:0.4468139121604468,Pr:0.5960523295845765,F1:0.6157676348547718,AUC:0.5950089340620032
TPR:0.7023050514958313,FPR:0.49428789032749426,Pr:0.5953024319268343,F1:0.6443919451006863,AUC:0.6040085805841684
TPR:0.6927415399705739,FPR:0.49022594567149025,Pr:0.593986543313709,F1:0.6395743717455287,AUC:0.6012577971495419
TPR:0.6230995586071604,FPR:0.4252348311754252,Pr:0.6027039848197343,F1:0.6127320954907163,AUC:0.5989323637158676
TPR:0.6449239823442864,FPR:0.46153846153846156,Pr:0.5912769784172662,F1:0.6169364297443114,AUC:0.5916927604029124
TPR:0.6292300147130947,FPR:0.4407209951764407,Pr:0.596466759646676,F1:0.6124105011933174,AUC:0.5942545097683269
TPR:0.6441883276115743,FPR:0.45722264534145723,Pr:0.5932700993676604,F1:0.6176816364918881,AUC:0.5934828411350586
TPR:0.6451692005885238,FPR:0.46407717694846407,Pr:0.5900426104507737,F1:0.6163757760337354,AUC:0.5905460118200299
TPR:0.6667484060814125,FPR:0.4861640010154862,Pr:0.5867501078981442,F1:0.624196510560147,AUC:0.5902922025329631
TPR:0.6329082883766552,FPR:0.4656004061944656,Pr:0.5845979614949037,F1:0.6077946544212881,AUC:0.5836539410910948
TPR:0.6272682687591957,FPR:0.4473216552424473,Pr:0.5921296296296297,F1:0.6091926649202192,AUC:0.5899733067583742
TPR:0.6969102501226091,FPR:0.5044427519675044,Pr:0.5885276454752537,F1:0.6381497698439429,AUC:0.5962337490775523
TPR:0.6674840608141246,FPR:0.4605229753744605,Pr:0.6000881834215167,F1:0.6319944276758764,AUC:0.603480542719832
TPR:0.6765571358509073,FPR:0.48032495557248034,Pr:0.5932057622016771,F1:0.6321457211593539,AUC:0.5981160901392135
