TPR:0.5787382016890213,FPR:0.4743172137308945,Pr:0.5517404688609993,F1:0.5649169596314705,AUC:0.5522104939790635
TPR:0.559612518628912,FPR:0.46805311951891754,Pr:0.5467119631157487,F1:0.553087025899104,AUC:0.5457796995549973
TPR:0.6351217088922007,FPR:0.5229265848158356,Pr:0.5506029285099052,F1:0.5898500576701269,AUC:0.5560975620381825
TPR:0.5909090909090909,FPR:0.4878476572287647,Pr:0.5499306518723994,F1:0.569683908045977,AUC:0.5515307168401631
TPR:0.5774962742175856,FPR:0.4590328238536708,Pr:0.5592975703632427,F1:0.5682512525968471,AUC:0.5592317251819574
TPR:0.6336313959264779,FPR:0.5061388123277374,Pr:0.5580835703347189,F1:0.593462835872979,AUC:0.5637462917993703
TPR:0.6343765524093393,FPR:0.5234277123527938,Pr:0.5500753822959293,F1:0.5892259776214096,AUC:0.5554744200282726
TPR:0.5991058122205664,FPR:0.48584314708093207,Pr:0.5543553206159504,F1:0.5758624806016475,AUC:0.5566313325698171
TPR:0.6338797814207651,FPR:0.5121523427712352,Pr:0.5552654482158399,F1:0.5919740199489677,AUC:0.560863719324765
TPR:0.5938897168405365,FPR:0.48283638185918315,Pr:0.5537285780453914,F1:0.5731064237775647,AUC:0.5555266674906767
TPR:0.6341281669150521,FPR:0.5417188674517665,Pr:0.5414634146341464,F1:0.5841436906532433,AUC:0.5462046497316428
TPR:0.6236959761549925,FPR:0.5121523427712352,Pr:0.5512623490669594,F1:0.5852464747698404,AUC:0.5557718166918786
TPR:0.6299056135121709,FPR:0.5216737659734403,Pr:0.5491554785621481,F1:0.5867653863951874,AUC:0.5541159237693652
TPR:0.5851962245404868,FPR:0.4838386369330995,Pr:0.549568462794495,F1:0.5668230482376999,AUC:0.5506787938036937
TPR:0.5943864878291107,FPR:0.4793284891004761,Pr:0.5557361820715281,F1:0.5744119059049447,AUC:0.5575289993643173
TPR:0.6718827620466965,FPR:0.5392132297669757,Pr:0.5569281449454395,F1:0.6090284813689069,AUC:0.5663347661398604
TPR:0.6462990561351217,FPR:0.5244299674267101,Pr:0.5542066027689031,F1:0.5967205595688567,AUC:0.5609345443542058
TPR:0.6187282662692499,FPR:0.49210724129290906,Pr:0.5591470258136925,F1:0.5874307275085484,AUC:0.5633105124881704
