TPR:0.6673397274103988,FPR:0.3718865598027127,Pr:0.6368015414258189,F1:0.6517130884890313,AUC:0.647726583803843
TPR:0.671630489651691,FPR:0.37706535141800246,Pr:0.6350835322195704,F1:0.6528459273797841,AUC:0.6472825691168442
TPR:0.6708732963149924,FPR:0.3871763255240444,Pr:0.6286660359508042,F1:0.6490842490842491,AUC:0.6418484853954741
TPR:0.6784452296819788,FPR:0.38027127003699135,Pr:0.6354609929078014,F1:0.6562500000000001,AUC:0.6490869798224937
TPR:0.6693589096415952,FPR:0.38224414303329224,Pr:0.6311280342693956,F1:0.6496815286624205,AUC:0.6435573833041515
TPR:0.6870267541645634,FPR:0.39161528976572135,Pr:0.6315545243619489,F1:0.6581237911025145,AUC:0.6477057321994211
TPR:0.6443715295305401,FPR:0.3528976572133169,Pr:0.6408132530120482,F1:0.642587465391392,AUC:0.6457369361586116
TPR:0.6749116607773852,FPR:0.39112207151664613,Pr:0.6276995305164319,F1:0.6504500121624909,AUC:0.6418947946303695
TPR:0.7069661786976275,FPR:0.39827373612823674,Pr:0.6342844202898551,F1:0.6686560038195273,AUC:0.6543462212846953
TPR:0.6839979808177689,FPR:0.38397040690505546,Pr:0.635106632294352,F1:0.6586462510633128,AUC:0.6500137869563568
TPR:0.6998990408884401,FPR:0.3933415536374846,Pr:0.6348443223443223,F1:0.6657863145258102,AUC:0.6532787436254777
TPR:0.665572942958102,FPR:0.37311960542540074,Pr:0.635421686746988,F1:0.6501479289940828,AUC:0.6462266687663506
TPR:0.6337708228167592,FPR:0.3474722564734895,Pr:0.6405612244897959,F1:0.6371479319969551,AUC:0.6431492831716348
TPR:0.6648157496214033,FPR:0.3526510480887793,Pr:0.6481299212598425,F1:0.6563668078744082,AUC:0.656082350766312
TPR:0.671125694093892,FPR:0.34278668310727495,Pr:0.6567053593479871,F1:0.6638372238172513,AUC:0.6641695054933086
TPR:0.6882887430590611,FPR:0.376078914919852,Pr:0.6413452492944497,F1:0.6639883126369612,AUC:0.6561049140696045
TPR:0.668349318525997,FPR:0.3602959309494451,Pr:0.6444390362618642,F1:0.6561764341469458,AUC:0.6540266937882759
TPR:0.6431095406360424,FPR:0.33563501849568433,Pr:0.6518291123049373,F1:0.6474399695083218,AUC:0.653737261070179
TPR:0.6675921251892983,FPR:0.36128236744759556,Pr:0.6435523114355232,F1:0.6553518334985134,AUC:0.6531548788708514
TPR:0.6698637051993942,FPR:0.37361282367447596,Pr:0.6366035020388583,F1:0.6528102324437339,AUC:0.648125440762459
TPR:0.6514386673397274,FPR:0.3400739827373613,Pr:0.6517676767676768,F1:0.6516031305225953,AUC:0.6556823423011829
TPR:0.6620393740535083,FPR:0.3561035758323058,Pr:0.6449471354806983,F1:0.6533814920911695,AUC:0.6529678991106013
TPR:0.6764260474507824,FPR:0.3864364981504316,Pr:0.6310336708264658,F1:0.6529418930442198,AUC:0.6449947746501754
TPR:0.6514386673397274,FPR:0.3459926017262639,Pr:0.6478413654618473,F1:0.6496350364963503,AUC:0.6527230328067318
TPR:0.6993942453306411,FPR:0.3955610357583231,Pr:0.6333714285714286,F1:0.6647475110951182,AUC:0.651916604786159
TPR:0.6322564361433619,FPR:0.3353884093711467,Pr:0.648124191461837,F1:0.6400919892679187,AUC:0.6484340133861075
TPR:0.6135790005047955,FPR:0.30382244143033293,Pr:0.6636636636636637,F1:0.6376393442622952,AUC:0.6548782795372312
TPR:0.6817264008076729,FPR:0.3723797780517879,Pr:0.641415340774163,F1:0.6609568090052612,AUC:0.6546733113779425
TPR:0.6971226653205452,FPR:0.3782983970406905,Pr:0.6429236499068901,F1:0.6689271009929765,AUC:0.6594121341399273
TPR:0.6998990408884401,FPR:0.3958076448828607,Pr:0.6333942439470077,F1:0.664988009592326,AUC:0.6520456980027898
TPR:0.6617869762746088,FPR:0.36300863131935884,Pr:0.6404494382022472,F1:0.6509433962264151,AUC:0.6493891724776251
TPR:0.7059565875820293,FPR:0.4046855733662145,Pr:0.6302388463271744,F1:0.665952380952381,AUC:0.6506355071079074
TPR:0.6441191317516406,FPR:0.34254007398273734,Pr:0.6475513828977417,F1:0.6458306972035935,AUC:0.6507895288844516
TPR:0.6824835941443715,FPR:0.3593094944512947,Pr:0.6498437875510694,F1:0.665763880339776,AUC:0.6615870498465384
TPR:0.6741544674406865,FPR:0.37879161528976574,Pr:0.6348942239125267,F1:0.6539356102338109,AUC:0.6476814260754604
TPR:0.6352852094901564,FPR:0.3336621454993835,Pr:0.6503875968992248,F1:0.6427477017364657,AUC:0.6508115319953864
TPR:0.6872791519434629,FPR:0.38594327990135635,Pr:0.6350279850746269,F1:0.6601212121212121,AUC:0.6506679360210532
