TPR:0.6026058631921825,FPR:0.4157973174366617,Pr:0.5896052954155431,F1:0.5960346964064437,AUC:0.5934042728777603
TPR:0.5925833124530193,FPR:0.4115747640337804,Pr:0.5880159124813525,F1:0.5902907774865843,AUC:0.5905042742096195
TPR:0.6274116762716111,FPR:0.44808743169398907,Pr:0.5812441968430826,F1:0.6034461983371491,AUC:0.589662122288811
TPR:0.6163868704585317,FPR:0.4463487332339791,Pr:0.5778717406624383,F1:0.5965082444228904,AUC:0.5850190686122764
TPR:0.6406915560010022,FPR:0.4654744162940884,Pr:0.5770706386820131,F1:0.6072191878413679,AUC:0.5876085698534569
TPR:0.6391881733901278,FPR:0.46274217585692995,Pr:0.5779338468509289,F1:0.6070196311719215,AUC:0.588222998766599
TPR:0.6224004009020295,FPR:0.4403874813710879,Pr:0.5835095137420718,F1:0.6023278370514062,AUC:0.5910064597654707
TPR:0.6274116762716111,FPR:0.4644808743169399,Pr:0.5724737082761774,F1:0.5986849970113569,AUC:0.5814654009773356
TPR:0.6041092458030569,FPR:0.4284649776453055,Pr:0.5829303675048356,F1:0.59333087240064,AUC:0.5878221340788756
TPR:0.6391881733901278,FPR:0.4662195727769498,Pr:0.5761065943992774,F1:0.6060102149899039,AUC:0.586484300306589
TPR:0.6151340516161363,FPR:0.4493293591654247,Pr:0.575750469043152,F1:0.5947910357359176,AUC:0.5829023462253559
TPR:0.5958406414432473,FPR:0.43094883258817684,Pr:0.5781667882324337,F1:0.5868706811451135,AUC:0.5824459044275352
TPR:0.6123778501628665,FPR:0.42821659215101837,Pr:0.5863723608445297,F1:0.5990930261061405,AUC:0.5920806290059241
TPR:0.6512152342771236,FPR:0.4781420765027322,Pr:0.5744916003536693,F1:0.6104521432765708,AUC:0.5865365788871957
TPR:0.5933350037584565,FPR:0.42523596621957277,Pr:0.5803921568627451,F1:0.5867922190558791,AUC:0.5840495187694418
TPR:0.6279128038085693,FPR:0.4533035270740189,Pr:0.578619256522743,F1:0.6022590723383803,AUC:0.5873046383672752
TPR:0.6101227762465548,FPR:0.43492300049677096,Pr:0.5817009077878643,F1:0.5955729485141249,AUC:0.5875998878748918
TPR:0.6306690052618391,FPR:0.4696969696969697,Pr:0.5710072595281307,F1:0.5993570663174187,AUC:0.5804860177824347
TPR:0.6156351791530945,FPR:0.45603576751117736,Pr:0.5723270440251572,F1:0.5931916948334138,AUC:0.5797997058209585
TPR:0.6244049110498622,FPR:0.45106805762543467,Pr:0.5784586815227484,F1:0.6005542836486323,AUC:0.5866684267122138
TPR:0.5940866950638938,FPR:0.44212617983109787,Pr:0.5711876656227415,F1:0.5824121837386391,AUC:0.575980257616398
TPR:0.6727637183663242,FPR:0.5091902632886239,Pr:0.5670538542766631,F1:0.6154022461608984,AUC:0.5817867275388502
TPR:0.63041844149336,FPR:0.46572280178837555,Pr:0.572990207242086,F1:0.6003340491529467,AUC:0.5823478198524922
TPR:0.6153846153846154,FPR:0.4550422255340288,Pr:0.5727611940298507,F1:0.5933083705761565,AUC:0.5801711949252935
TPR:0.6697569531445753,FPR:0.5044709388971684,Pr:0.5682397959183674,F1:0.6148361127084532,AUC:0.5826430071237034
TPR:0.6552242545727888,FPR:0.4883258817685047,Pr:0.5708360619951975,F1:0.6101259916005599,AUC:0.5834491864021419
TPR:0.6579804560260586,FPR:0.49379036264282167,Pr:0.5691374078890333,F1:0.61034282393957,AUC:0.5820950466916184
TPR:0.6036081182660987,FPR:0.45305514157973176,Pr:0.5690999291282778,F1:0.5858463035019456,AUC:0.5752764883431836
TPR:0.588574292157354,FPR:0.4307004470938897,Pr:0.5753122703894196,F1:0.5818677235570968,AUC:0.5789369225317321
TPR:0.6181408168378852,FPR:0.4595131644311972,Pr:0.5714616631920315,F1:0.5938854116514203,AUC:0.579313826203344
TPR:0.6261588574292157,FPR:0.45081967213114754,Pr:0.5792767732962448,F1:0.6018061408789885,AUC:0.5876695926490342
TPR:0.6356802806314207,FPR:0.47665176353700944,Pr:0.5693447037701975,F1:0.6006866343080383,AUC:0.5795142585472056
TPR:0.6033575544976196,FPR:0.4354197714853453,Pr:0.5787070415765441,F1:0.5907752698724239,AUC:0.5839688915061372
TPR:0.6574793284891005,FPR:0.4823646299056135,Pr:0.574682435392028,F1:0.6132990534065677,AUC:0.5875573492917435
TPR:0.6579804560260586,FPR:0.4823646299056135,Pr:0.5748686514886164,F1:0.6136230868092066,AUC:0.5878079130602225
TPR:0.6457028313705838,FPR:0.4880774962742176,Pr:0.5673712021136064,F1:0.6040079690612914,AUC:0.5788126675481831
TPR:0.6492107241292909,FPR:0.4749130650769995,Pr:0.5753941816566733,F1:0.6100777019072287,AUC:0.5871488295261457
TPR:0.636933099473816,FPR:0.47466467958271236,Pr:0.5708511116101505,F1:0.6020843202273803,AUC:0.5811342099455519
TPR:0.6609872212478076,FPR:0.4942871336313959,Pr:0.5700086430423509,F1:0.6121359786518157,AUC:0.5833500438082059
TPR:0.658982711099975,FPR:0.488822652757079,Pr:0.5719878207916486,F1:0.6124112236581675,AUC:0.585080029171448
TPR:0.6692558256076171,FPR:0.48484848484848486,Pr:0.5777633571274065,F1:0.6201532389133969,AUC:0.5922036703795661
TPR:0.6224004009020295,FPR:0.4523099850968703,Pr:0.5770034843205575,F1:0.5988428158148504,AUC:0.5850452079025796
TPR:0.5898271109997494,FPR:0.41629408842523596,Pr:0.5841191066997519,F1:0.5869592320159581,AUC:0.5867665112872568
TPR:0.658982711099975,FPR:0.4823646299056135,Pr:0.5752405949256343,F1:0.6142706995211958,AUC:0.5883090405971807
TPR:0.6682535705337008,FPR:0.5,Pr:0.5698717948717948,F1:0.615153961480798,AUC:0.5841267852668504
TPR:0.6186419443748434,FPR:0.4493293591654247,Pr:0.5771388499298737,F1:0.5971701535856815,AUC:0.5846562926047094
TPR:0.6389376096216487,FPR:0.4595131644311972,Pr:0.5795454545454546,F1:0.6077940650697177,AUC:0.5897122225952258
TPR:0.688048108243548,FPR:0.4972677595628415,Pr:0.5783487784330245,F1:0.628447190754091,AUC:0.5953901743403532
TPR:0.6048609371084941,FPR:0.4401390958768008,Pr:0.5766841853798376,F1:0.5904365904365904,AUC:0.5823609206158467
TPR:0.6198947632172388,FPR:0.4463487332339791,Pr:0.5792554436900024,F1:0.598886468167514,AUC:0.5867730149916298
TPR:0.604359809571536,FPR:0.41530054644808745,Pr:0.5905974534769833,F1:0.5973993808049536,AUC:0.5945296315617243
