TPR:0.1545,FPR:0.1445,Pr:0.5167224080267558,F1:0.2378752886836028,AUC:0.5050000000000001
TPR:0.15875,FPR:0.1475,Pr:0.5183673469387755,F1:0.2430622009569378,AUC:0.505625
TPR:0.146,FPR:0.1365,Pr:0.5168141592920354,F1:0.22768031189083818,AUC:0.5047499999999999
TPR:0.15,FPR:0.14225,Pr:0.5132591958939264,F1:0.2321532211259431,AUC:0.503875
TPR:0.149,FPR:0.1435,Pr:0.5094017094017094,F1:0.23056092843326886,AUC:0.50275
TPR:0.15175,FPR:0.144,Pr:0.5131022823330516,F1:0.23422728149720237,AUC:0.5038750000000001
TPR:0.15975,FPR:0.151,Pr:0.5140788415124699,F1:0.24375357619683388,AUC:0.504375
TPR:0.1615,FPR:0.15475,Pr:0.5106719367588933,F1:0.24539411206077874,AUC:0.503375
TPR:0.14275,FPR:0.1395,Pr:0.5057573073516386,F1:0.2226554883992981,AUC:0.501625
TPR:0.14,FPR:0.13725,Pr:0.5049594229035167,F1:0.21922098257976122,AUC:0.5013750000000001
TPR:0.1405,FPR:0.13775,Pr:0.504941599281222,F1:0.21983180129082733,AUC:0.501375
TPR:0.13425,FPR:0.1295,Pr:0.5090047393364929,F1:0.21246290801186946,AUC:0.502375
TPR:0.13575,FPR:0.129,Pr:0.5127478753541076,F1:0.21466693022336428,AUC:0.503375
TPR:0.148,FPR:0.14225,Pr:0.5099052540913006,F1:0.22941290447587676,AUC:0.502875
TPR:0.13375,FPR:0.1295,Pr:0.5080721747388414,F1:0.21175539283593903,AUC:0.502125
TPR:0.13425,FPR:0.1325,Pr:0.5032802249297095,F1:0.21195973949082297,AUC:0.500875
TPR:0.12725,FPR:0.126,Pr:0.5024679170779862,F1:0.20307201276680634,AUC:0.500625
TPR:0.1235,FPR:0.12525,Pr:0.4964824120603015,F1:0.19779779779779783,AUC:0.499125
TPR:0.09675,FPR:0.09825,Pr:0.49615384615384617,F1:0.16192468619246864,AUC:0.4992500000000001
TPR:0.102,FPR:0.1025,Pr:0.49877750611246946,F1:0.1693648816936488,AUC:0.49975
TPR:0.0915,FPR:0.097,Pr:0.4854111405835544,F1:0.15397559949516196,AUC:0.49724999999999997
TPR:0.0825,FPR:0.08825,Pr:0.48316251830161056,F1:0.14093529788597056,AUC:0.49712500000000004
TPR:0.08675,FPR:0.0925,Pr:0.4839609483960948,F1:0.14712741149035405,AUC:0.49712499999999993
TPR:0.0805,FPR:0.08125,Pr:0.49768160741885625,F1:0.1385840327092748,AUC:0.499625
TPR:0.087,FPR:0.091,Pr:0.4887640449438202,F1:0.14770797962648555,AUC:0.498
TPR:0.093,FPR:0.095,Pr:0.4946808510638298,F1:0.15656565656565655,AUC:0.499
TPR:0.09025,FPR:0.091,Pr:0.4979310344827586,F1:0.1528042328042328,AUC:0.499625
TPR:0.07975,FPR:0.07775,Pr:0.5063492063492063,F1:0.13779697624190065,AUC:0.501
TPR:0.09875,FPR:0.1055,Pr:0.4834761321909425,F1:0.16400249117708116,AUC:0.496625
TPR:0.09625,FPR:0.1045,Pr:0.4794520547945205,F1:0.16031646887362067,AUC:0.49587499999999995
TPR:0.10575,FPR:0.11325,Pr:0.4828767123287671,F1:0.1735028712059065,AUC:0.49625
TPR:0.10225,FPR:0.108,Pr:0.4863258026159334,F1:0.16897335261309646,AUC:0.497125
TPR:0.1045,FPR:0.11125,Pr:0.4843568945538818,F1:0.17191034340941805,AUC:0.49662500000000004
TPR:0.1045,FPR:0.11025,Pr:0.48661233993015135,F1:0.1720518625231529,AUC:0.49712500000000004
TPR:0.1145,FPR:0.11725,Pr:0.49406688241639696,F1:0.18591434950274,AUC:0.49862500000000004
TPR:0.128,FPR:0.1265,Pr:0.5029469548133595,F1:0.20406536468712635,AUC:0.50075
TPR:0.121,FPR:0.1165,Pr:0.5094736842105263,F1:0.19555555555555554,AUC:0.50225
TPR:0.12725,FPR:0.12125,Pr:0.5120724346076458,F1:0.2038446135362435,AUC:0.5030000000000001
TPR:0.14025,FPR:0.1315,Pr:0.516099356025759,F1:0.22056221741694518,AUC:0.504375
TPR:0.1345,FPR:0.126,Pr:0.5163147792706334,F1:0.21340737802459345,AUC:0.50425
TPR:0.13975,FPR:0.13325,Pr:0.5119047619047619,F1:0.21956009426551454,AUC:0.50325
TPR:0.13775,FPR:0.1325,Pr:0.509713228492137,F1:0.21688643967722893,AUC:0.502625
TPR:0.136,FPR:0.13075,Pr:0.5098406747891284,F1:0.21472271561081507,AUC:0.502625
TPR:0.127,FPR:0.125,Pr:0.503968253968254,F1:0.2028753993610224,AUC:0.501
TPR:0.13075,FPR:0.12725,Pr:0.5067829457364341,F1:0.20786963434022257,AUC:0.50175
TPR:0.1205,FPR:0.1195,Pr:0.5020833333333333,F1:0.19435483870967743,AUC:0.5005000000000001
TPR:0.1275,FPR:0.128,Pr:0.49902152641878667,F1:0.20310633213859022,AUC:0.49974999999999997
TPR:0.131,FPR:0.13175,Pr:0.49857278782112274,F1:0.2074836666006731,AUC:0.49962499999999993
TPR:0.13225,FPR:0.131,Pr:0.5023741690408358,F1:0.2093805660003958,AUC:0.500625
TPR:0.14875,FPR:0.1455,Pr:0.5055225148683092,F1:0.22986285493529068,AUC:0.501625
TPR:0.1175,FPR:0.11425,Pr:0.5070118662351673,F1:0.1907854678303227,AUC:0.501625
