TPR:0.184,FPR:0.1625,Pr:0.5310245310245311,F1:0.2733011511325659,AUC:0.5107499999999999
TPR:0.17725,FPR:0.154,Pr:0.5350943396226415,F1:0.26629107981220657,AUC:0.511625
TPR:0.183,FPR:0.15975,Pr:0.5339168490153173,F1:0.27257493948985295,AUC:0.511625
TPR:0.1725,FPR:0.1505,Pr:0.5340557275541795,F1:0.26077097505668934,AUC:0.511
TPR:0.16775,FPR:0.146,Pr:0.5346613545816733,F1:0.25537583254043766,AUC:0.510875
TPR:0.13375,FPR:0.11725,Pr:0.5328685258964143,F1:0.21382893685051957,AUC:0.50825
TPR:0.15425,FPR:0.13425,Pr:0.5346620450606586,F1:0.23942568878540937,AUC:0.51
TPR:0.174,FPR:0.1525,Pr:0.5329249617151608,F1:0.26234451564266864,AUC:0.51075
TPR:0.14975,FPR:0.13175,Pr:0.5319715808170515,F1:0.2337104955130706,AUC:0.509
TPR:0.15425,FPR:0.136,Pr:0.5314384151593454,F1:0.23910094942840537,AUC:0.5091249999999999
TPR:0.13125,FPR:0.114,Pr:0.5351681957186545,F1:0.2108010439670749,AUC:0.508625
TPR:0.13975,FPR:0.12475,Pr:0.5283553875236295,F1:0.22103598260181892,AUC:0.5075000000000001
TPR:0.12775,FPR:0.11225,Pr:0.5322916666666667,F1:0.2060483870967742,AUC:0.50775
TPR:0.12825,FPR:0.113,Pr:0.5316062176165803,F1:0.2066465256797583,AUC:0.507625
TPR:0.1255,FPR:0.11375,Pr:0.5245559038662487,F1:0.20254185999596527,AUC:0.505875
TPR:0.12775,FPR:0.115,Pr:0.5262615859938208,F1:0.2055924361295514,AUC:0.506375
TPR:0.11375,FPR:0.10525,Pr:0.519406392694064,F1:0.18662838392124692,AUC:0.5042500000000001
TPR:0.10975,FPR:0.10225,Pr:0.5176886792452831,F1:0.1811056105610561,AUC:0.50375
TPR:0.10875,FPR:0.1005,Pr:0.5197132616487455,F1:0.17986355178829852,AUC:0.5041249999999999
TPR:0.117,FPR:0.1085,Pr:0.5188470066518847,F1:0.19094247246022034,AUC:0.50425
TPR:0.0975,FPR:0.0905,Pr:0.5186170212765957,F1:0.16414141414141414,AUC:0.5035
TPR:0.098,FPR:0.093,Pr:0.5130890052356021,F1:0.16456759026028547,AUC:0.5025000000000001
TPR:0.099,FPR:0.09325,Pr:0.5149544863459038,F1:0.1660725518976725,AUC:0.502875
TPR:0.1025,FPR:0.09625,Pr:0.5157232704402516,F1:0.17101147028154326,AUC:0.503125
TPR:0.11825,FPR:0.11275,Pr:0.5119047619047619,F1:0.19212022745735174,AUC:0.5027499999999999
TPR:0.1415,FPR:0.1295,Pr:0.522140221402214,F1:0.22265932336742725,AUC:0.506
TPR:0.1305,FPR:0.1225,Pr:0.5158102766798419,F1:0.20830007980845974,AUC:0.504
TPR:0.11875,FPR:0.113,Pr:0.5124056094929881,F1:0.1928151004668155,AUC:0.502875
TPR:0.145,FPR:0.133,Pr:0.5215827338129496,F1:0.2269170579029734,AUC:0.506
TPR:0.1425,FPR:0.131,Pr:0.5210237659963437,F1:0.2237926972909305,AUC:0.50575
TPR:0.164,FPR:0.15075,Pr:0.5210484511517077,F1:0.24947708689864995,AUC:0.506625
TPR:0.1375,FPR:0.121,Pr:0.5319148936170213,F1:0.21851410409217326,AUC:0.50825
TPR:0.16975,FPR:0.15275,Pr:0.5263565891472868,F1:0.256710775047259,AUC:0.5085000000000001
TPR:0.16225,FPR:0.1435,Pr:0.5306623058053965,F1:0.2485161784415087,AUC:0.509375
TPR:0.17875,FPR:0.1575,Pr:0.5315985130111525,F1:0.2675397567820393,AUC:0.510625
TPR:0.175,FPR:0.15325,Pr:0.5331302361005331,F1:0.2635046113306983,AUC:0.510875
TPR:0.17575,FPR:0.15375,Pr:0.5333839150227617,F1:0.26438510718315156,AUC:0.511
TPR:0.18425,FPR:0.16,Pr:0.5352214960058097,F1:0.2741305560721592,AUC:0.5121249999999999
TPR:0.20225,FPR:0.18025,Pr:0.5287581699346405,F1:0.2925858951175407,AUC:0.511
TPR:0.19625,FPR:0.173,Pr:0.5314827352742044,F1:0.2866532773416104,AUC:0.511625
TPR:0.20475,FPR:0.183,Pr:0.528046421663443,F1:0.29508196721311475,AUC:0.510875
TPR:0.195,FPR:0.172,Pr:0.5313351498637602,F1:0.28529626920263346,AUC:0.5115000000000001
TPR:0.19525,FPR:0.173,Pr:0.5302104548540394,F1:0.2854010597478531,AUC:0.5111249999999999
TPR:0.2095,FPR:0.188,Pr:0.5270440251572327,F1:0.2998211091234347,AUC:0.51075
TPR:0.19625,FPR:0.17575,Pr:0.5275537634408602,F1:0.2860787172011662,AUC:0.5102500000000001
TPR:0.186,FPR:0.16725,Pr:0.5265392781316348,F1:0.2748937742471827,AUC:0.509375
TPR:0.1985,FPR:0.1805,Pr:0.5237467018469657,F1:0.2878897751994199,AUC:0.509
TPR:0.19425,FPR:0.1765,Pr:0.523937963587323,F1:0.2834214845887288,AUC:0.508875
TPR:0.18275,FPR:0.15975,Pr:0.5335766423357664,F1:0.2722532588454376,AUC:0.5115
TPR:0.176,FPR:0.155,Pr:0.5317220543806647,F1:0.2644628099173554,AUC:0.5105
TPR:0.158,FPR:0.14125,Pr:0.5279866332497911,F1:0.24321724071579756,AUC:0.508375
