TPR:0.9652222222222222,FPR:0.02,Pr:0.9797000112777715,F1:0.972407231208373,AUC:0.972611111111111
TPR:0.9761111111111112,FPR:0.024777777777777777,Pr:0.9752442273534636,F1:0.9756774766770324,AUC:0.9756666666666667
TPR:0.958,FPR:0.035555555555555556,Pr:0.9642138224110938,F1:0.9610968676847621,AUC:0.9612222222222222
TPR:0.959,FPR:0.03266666666666666,Pr:0.9670588235294117,F1:0.9630125523012553,AUC:0.9631666666666667
TPR:0.9833333333333333,FPR:0.034666666666666665,Pr:0.9659462999345121,F1:0.9745622728774364,AUC:0.9743333333333334
TPR:0.9627777777777777,FPR:0.04044444444444444,Pr:0.9596854579687673,F1:0.96122913084475,AUC:0.9611666666666667
TPR:0.9644444444444444,FPR:0.02822222222222222,Pr:0.9715692858741884,F1:0.9679937548790007,AUC:0.968111111111111
TPR:0.963,FPR:0.033555555555555554,Pr:0.966328464711785,F1:0.964661361233235,AUC:0.9647222222222223
TPR:0.9662222222222222,FPR:0.025555555555555557,Pr:0.9742325789827471,F1:0.9702108668972442,AUC:0.9703333333333333
TPR:0.9685555555555555,FPR:0.049444444444444444,Pr:0.9514298188168522,F1:0.9599163087765664,AUC:0.9595555555555556
TPR:0.9664444444444444,FPR:0.04877777777777778,Pr:0.9519535952719711,F1:0.9591442906765176,AUC:0.9588333333333333
TPR:0.959,FPR:0.05277777777777778,Pr:0.9478365912585108,F1:0.9533856180271733,AUC:0.9531111111111111
TPR:0.9521111111111111,FPR:0.04077777777777778,Pr:0.958930170098478,F1:0.9555084745762712,AUC:0.9556666666666667
TPR:0.9431111111111111,FPR:0.04844444444444444,Pr:0.9511429852084267,F1:0.9471100200848024,AUC:0.9473333333333332
TPR:0.9345555555555556,FPR:0.04577777777777778,Pr:0.9533038648985606,F1:0.9438366156090445,AUC:0.9443888888888889
TPR:0.9292222222222222,FPR:0.03277777777777778,Pr:0.9659274659274659,F1:0.947219390644467,AUC:0.9482222222222222
TPR:0.9641111111111111,FPR:0.042555555555555555,Pr:0.9577262693156733,F1:0.9609080841638982,AUC:0.9607777777777778
TPR:0.9464444444444444,FPR:0.042222222222222223,Pr:0.9572937738817712,F1:0.9518381942116437,AUC:0.952111111111111
TPR:0.959,FPR:0.052333333333333336,Pr:0.9482531311799605,F1:0.9535962877030162,AUC:0.9533333333333334
TPR:0.9334444444444444,FPR:0.03411111111111111,Pr:0.964745062011943,F1:0.9488366839846396,AUC:0.9496666666666667
TPR:0.9427777777777778,FPR:0.050333333333333334,Pr:0.9493175206981428,F1:0.9460363474188872,AUC:0.9462222222222222
TPR:0.9575555555555556,FPR:0.042888888888888886,Pr:0.9571301643713905,F1:0.9573428127082871,AUC:0.9573333333333334
TPR:0.9498888888888889,FPR:0.03888888888888889,Pr:0.9606697381728284,F1:0.9552488965864016,AUC:0.9555
TPR:0.94,FPR:0.025777777777777778,Pr:0.9733087896916705,F1:0.9563644585123218,AUC:0.957111111111111
TPR:0.9286666666666666,FPR:0.010222222222222223,Pr:0.989112426035503,F1:0.9579369627507163,AUC:0.9592222222222221
TPR:0.9768888888888889,FPR:0.041777777777777775,Pr:0.9589877835951134,F1:0.9678555702333773,AUC:0.9675555555555556
TPR:0.9631111111111111,FPR:0.044333333333333336,Pr:0.955994264916731,F1:0.9595394918912935,AUC:0.9593888888888888
TPR:0.9698888888888889,FPR:0.04188888888888889,Pr:0.9585987261146497,F1:0.9642107588644648,AUC:0.9640000000000001
TPR:0.9578888888888889,FPR:0.024777777777777777,Pr:0.9747851650836725,F1:0.9662631696928938,AUC:0.9665555555555555
TPR:0.9607777777777777,FPR:0.029444444444444443,Pr:0.9702648114901257,F1:0.9654979901741848,AUC:0.9656666666666666
TPR:0.9416666666666667,FPR:0.033555555555555554,Pr:0.9655918878888002,F1:0.9534792147156438,AUC:0.9540555555555555
TPR:0.9426666666666667,FPR:0.019777777777777776,Pr:0.979450473331794,F1:0.9607066017438568,AUC:0.9614444444444445
TPR:0.9243333333333333,FPR:0.0054444444444444445,Pr:0.9941443594646272,F1:0.9579686780285583,AUC:0.9594444444444443
TPR:0.9338888888888889,FPR:0.00788888888888889,Pr:0.991623407267579,F1:0.9618905928130006,AUC:0.9630000000000001
TPR:0.9417777777777778,FPR:0.010555555555555556,Pr:0.9889161124722903,F1:0.9647714984918332,AUC:0.9656111111111112
TPR:0.9343333333333333,FPR:0.0,Pr:1.0,F1:0.966052042047217,AUC:0.9671666666666667
TPR:0.9148888888888889,FPR:0.014666666666666666,Pr:0.9842218503466411,F1:0.9482897616031325,AUC:0.950111111111111
TPR:0.9031111111111111,FPR:0.0057777777777777775,Pr:0.993643031784841,F1:0.9462165308498254,AUC:0.9486666666666665
TPR:0.8956666666666667,FPR:0.008777777777777778,Pr:0.9902948402948403,F1:0.9406067677946324,AUC:0.9434444444444444
TPR:0.9021111111111111,FPR:0.01211111111111111,Pr:0.9867525522605737,F1:0.9425354074762015,AUC:0.9450000000000001
TPR:0.9114444444444444,FPR:0.0032222222222222222,Pr:0.9964771622934888,F1:0.9520659238625813,AUC:0.954111111111111
TPR:0.9166666666666666,FPR:0.014777777777777779,Pr:0.9841345580341166,F1:0.9492032445492722,AUC:0.9509444444444444
TPR:0.8948888888888888,FPR:0.003,Pr:0.9966588293528029,F1:0.9430361220069083,AUC:0.9459444444444444
TPR:0.8974444444444445,FPR:0.010888888888888889,Pr:0.9880122324159022,F1:0.9405531295487628,AUC:0.9432777777777779
TPR:0.8787777777777778,FPR:0.012666666666666666,Pr:0.9857908513025053,F1:0.9292134171415144,AUC:0.9330555555555554
TPR:0.8892222222222222,FPR:0.009888888888888888,Pr:0.9890014829461197,F1:0.93646150245729,AUC:0.9396666666666667
TPR:0.9144444444444444,FPR:0.012888888888888889,Pr:0.9861011262880421,F1:0.948921941658019,AUC:0.9507777777777777
TPR:0.9033333333333333,FPR:0.020666666666666667,Pr:0.9776334776334776,F1:0.9390159390159389,AUC:0.9413333333333334
TPR:0.8905555555555555,FPR:0.01988888888888889,Pr:0.9781547473761288,F1:0.9323019658020241,AUC:0.9353333333333333
TPR:0.9183333333333333,FPR:0.021222222222222222,Pr:0.9774124881740776,F1:0.9469523373052247,AUC:0.9485555555555556
TPR:0.927,FPR:0.029111111111111112,Pr:0.9695525857059849,F1:0.9477989207611476,AUC:0.9489444444444445
