TPR:0.152,FPR:0.142,Pr:0.5170068027210885,F1:0.2349304482225657,AUC:0.505
TPR:0.1435,FPR:0.13275,Pr:0.5194570135746607,F1:0.2248775710088149,AUC:0.505375
TPR:0.13725,FPR:0.13,Pr:0.5135640785781104,F1:0.2166107713552969,AUC:0.5036250000000001
TPR:0.1355,FPR:0.12725,Pr:0.5156993339676499,F1:0.21461096812512376,AUC:0.5041249999999999
TPR:0.1395,FPR:0.13125,Pr:0.5152354570637119,F1:0.2195553806807004,AUC:0.504125
TPR:0.1425,FPR:0.13625,Pr:0.5112107623318386,F1:0.22287390029325513,AUC:0.503125
TPR:0.143,FPR:0.13825,Pr:0.5084444444444445,F1:0.22321951219512193,AUC:0.502375
TPR:0.12925,FPR:0.125,Pr:0.5083579154375615,F1:0.2060992625074746,AUC:0.502125
TPR:0.12725,FPR:0.12825,Pr:0.4980430528375734,F1:0.20270808442851454,AUC:0.49950000000000006
TPR:0.12375,FPR:0.1245,Pr:0.4984894259818731,F1:0.19827758862407371,AUC:0.499625
TPR:0.115,FPR:0.115,Pr:0.5,F1:0.1869918699186992,AUC:0.5
TPR:0.10175,FPR:0.1015,Pr:0.5006150061500615,F1:0.1691252856846042,AUC:0.500125
TPR:0.09725,FPR:0.0975,Pr:0.4993581514762516,F1:0.16279556392550745,AUC:0.499875
TPR:0.09675,FPR:0.0975,Pr:0.4980694980694981,F1:0.16202637638685366,AUC:0.49962500000000004
TPR:0.0935,FPR:0.09575,Pr:0.4940554821664465,F1:0.15724195921799453,AUC:0.49887499999999996
TPR:0.096,FPR:0.1,Pr:0.4897959183673469,F1:0.1605351170568562,AUC:0.49800000000000005
TPR:0.09775,FPR:0.1,Pr:0.4943109987357775,F1:0.1632227092465039,AUC:0.498875
TPR:0.09475,FPR:0.09975,Pr:0.487146529562982,F1:0.15864378401004606,AUC:0.49749999999999994
TPR:0.095,FPR:0.09775,Pr:0.49286640726329445,F1:0.1592957451268078,AUC:0.498625
TPR:0.09725,FPR:0.10075,Pr:0.4911616161616162,F1:0.16235392320534223,AUC:0.49825
TPR:0.0925,FPR:0.09925,Pr:0.48239895697522817,F1:0.1552338997272918,AUC:0.496625
TPR:0.09325,FPR:0.09925,Pr:0.4844155844155844,F1:0.15639412997903562,AUC:0.497
TPR:0.09975,FPR:0.10375,Pr:0.49017199017199015,F1:0.16576651433319486,AUC:0.498
TPR:0.10025,FPR:0.10375,Pr:0.49142156862745096,F1:0.16652823920265783,AUC:0.49824999999999997
TPR:0.10425,FPR:0.108,Pr:0.4911660777385159,F1:0.17199422561352853,AUC:0.498125
TPR:0.103,FPR:0.10575,Pr:0.4934131736526946,F1:0.17042399172699066,AUC:0.498625
TPR:0.10725,FPR:0.11125,Pr:0.49084668192219677,F1:0.17603610997127614,AUC:0.49800000000000005
TPR:0.099,FPR:0.10275,Pr:0.49070631970260226,F1:0.1647597254004577,AUC:0.498125
TPR:0.1115,FPR:0.11675,Pr:0.488499452354874,F1:0.18155912884184813,AUC:0.49737499999999996
TPR:0.11975,FPR:0.1235,Pr:0.49229188078108943,F1:0.19264025738990548,AUC:0.49812500000000004
TPR:0.11175,FPR:0.11575,Pr:0.4912087912087912,F1:0.18207739307535642,AUC:0.498
TPR:0.10875,FPR:0.1125,Pr:0.4915254237288136,F1:0.1780962128966223,AUC:0.49812499999999993
TPR:0.109,FPR:0.11325,Pr:0.4904386951631046,F1:0.17835958273675595,AUC:0.49787500000000007
TPR:0.109,FPR:0.11325,Pr:0.4904386951631046,F1:0.17835958273675595,AUC:0.49787500000000007
TPR:0.11425,FPR:0.12,Pr:0.48772678762006405,F1:0.18513267166295322,AUC:0.497125
TPR:0.1135,FPR:0.1155,Pr:0.49563318777292575,F1:0.18470301057770544,AUC:0.49899999999999994
TPR:0.12575,FPR:0.12225,Pr:0.5070564516129032,F1:0.20152243589743588,AUC:0.50175
TPR:0.13,FPR:0.125,Pr:0.5098039215686274,F1:0.20717131474103584,AUC:0.5025
TPR:0.1375,FPR:0.12875,Pr:0.5164319248826291,F1:0.21717670286278382,AUC:0.5043749999999999
TPR:0.134,FPR:0.125,Pr:0.5173745173745173,F1:0.21286735504368548,AUC:0.5045
TPR:0.1375,FPR:0.13025,Pr:0.5135387488328664,F1:0.2169197396963124,AUC:0.503625
TPR:0.1335,FPR:0.13075,Pr:0.5052034058656575,F1:0.2111924065651572,AUC:0.5013749999999999
TPR:0.12775,FPR:0.123,Pr:0.5094715852442672,F1:0.20427743353987604,AUC:0.502375
TPR:0.12625,FPR:0.126,Pr:0.5004955401387512,F1:0.20163705330405274,AUC:0.500125
TPR:0.1285,FPR:0.127,Pr:0.50293542074364,F1:0.2046993229788929,AUC:0.50075
TPR:0.127,FPR:0.1265,Pr:0.5009861932938856,F1:0.20263262863980852,AUC:0.50025
TPR:0.13225,FPR:0.1295,Pr:0.5052531041069723,F1:0.2096294828611056,AUC:0.501375
TPR:0.1365,FPR:0.137,Pr:0.4990859232175503,F1:0.21436984687868085,AUC:0.49975
TPR:0.1335,FPR:0.1295,Pr:0.5076045627376425,F1:0.21140142517814728,AUC:0.502
TPR:0.12825,FPR:0.125,Pr:0.506416584402764,F1:0.20466786355475766,AUC:0.501625
TPR:0.12875,FPR:0.12225,Pr:0.5129482071713147,F1:0.2058353317346123,AUC:0.50325
