TPR:0.677708592777086,FPR:0.5212393803098451,Pr:0.5660495111296027,F1:0.6168669236000907,AUC:0.5782346062336206
TPR:0.5656288916562889,FPR:0.4260369815092454,Pr:0.5711770623742455,F1:0.5683894381178827,AUC:0.5697959550735218
TPR:0.6709838107098381,FPR:0.5129935032483758,Pr:0.5675163261006951,F1:0.6149280986076238,AUC:0.5789951537307312
TPR:0.5666251556662516,FPR:0.41679160419790107,Pr:0.5769718488460563,F1:0.5717516964061322,AUC:0.5749167757341752
TPR:0.5606475716064757,FPR:0.4052973513243378,Pr:0.5812032016524658,F1:0.5707403651115618,AUC:0.5776751101410689
TPR:0.5150684931506849,FPR:0.3773113443278361,Pr:0.577976523197317,F1:0.5447122349532464,AUC:0.5688785744114244
TPR:0.5322540473225404,FPR:0.3740629685157421,Pr:0.5880572372041827,F1:0.5587658517453262,AUC:0.5790955394033992
TPR:0.6363636363636364,FPR:0.4782608695652174,Pr:0.5717162676213918,F1:0.6023102310231023,AUC:0.5790513833992095
TPR:0.6176836861768369,FPR:0.4777611194402799,Pr:0.5646630236794171,F1:0.5899845366956108,AUC:0.5699612833682786
TPR:0.5207970112079701,FPR:0.3888055972013993,Pr:0.5733479572251166,F1:0.5458104933437744,AUC:0.5659957070032854
TPR:0.6127023661270237,FPR:0.4630184907546227,Pr:0.5703686529098075,F1:0.590778097982709,AUC:0.5748419376862005
TPR:0.4884184308841843,FPR:0.37956021989005495,Pr:0.5635057471264368,F1:0.5232821881254169,AUC:0.5544291054970647
TPR:0.5195516811955168,FPR:0.37256371814092953,Pr:0.5831702544031311,F1:0.5495258166491043,AUC:0.5734939815272936
TPR:0.5257783312577833,FPR:0.45527236381809094,Pr:0.5367404017289601,F1:0.531202818319074,AUC:0.5352529837198462
TPR:0.5452054794520548,FPR:0.40679660169915044,Pr:0.5734870317002881,F1:0.5589887640449438,AUC:0.5692044388764521
TPR:0.5937733499377335,FPR:0.4622688655672164,Pr:0.5630609352857817,F1:0.5780094556915989,AUC:0.5657522421852585
TPR:0.5013698630136987,FPR:0.38780609695152424,Pr:0.564656381486676,F1:0.5311345646437995,AUC:0.5567818830310872
TPR:0.6400996264009963,FPR:0.512743628185907,Pr:0.5560363479013414,F1:0.5951140442283199,AUC:0.5636779991075446
TPR:0.5701120797011208,FPR:0.4472763618190905,Pr:0.5611669526844815,F1:0.5656041512231282,AUC:0.5614178589410151
TPR:0.5708592777085928,FPR:0.5079960019990005,Pr:0.5299421965317919,F1:0.5496402877697841,AUC:0.5314316378547961
TPR:0.6293897882938979,FPR:0.5017491254372813,Pr:0.5572216097023154,F1:0.591111111111111,AUC:0.5638203314283083
TPR:0.5439601494396015,FPR:0.4135432283858071,Pr:0.5688981505600417,F1:0.5561497326203209,AUC:0.5652084605268971
TPR:0.5955168119551681,FPR:0.44677661169415295,Pr:0.5721464465183058,F1:0.5835977544544789,AUC:0.5743701001305076
TPR:0.5708592777085928,FPR:0.4547726136931534,Pr:0.5573929961089494,F1:0.564045773348099,AUC:0.5580433320077197
TPR:0.6316313823163138,FPR:0.5229885057471264,Pr:0.547850507669043,F1:0.5867653863951874,AUC:0.5543214382845937
TPR:0.5863013698630137,FPR:0.4542728635682159,Pr:0.5642377756471716,F1:0.5750580188103089,AUC:0.566014253147399
TPR:0.5531755915317559,FPR:0.39730134932533734,Pr:0.5827866701653109,F1:0.5675951955021722,AUC:0.5779371211032093
TPR:0.6542963885429639,FPR:0.5422288855572214,Pr:0.5476339378778403,F1:0.5962324103495235,AUC:0.5560337514928713
TPR:0.5315068493150685,FPR:0.41254372813593204,Pr:0.5638044914134742,F1:0.5471794871794872,AUC:0.5594815605895682
TPR:0.5250311332503114,FPR:0.4197901049475262,Pr:0.5564941921858501,F1:0.5403050108932462,AUC:0.5526205141513926
TPR:0.6206724782067248,FPR:0.506496751624188,Pr:0.5514494357158664,F1:0.5840168736817436,AUC:0.5570878632912684
TPR:0.5541718555417185,FPR:0.42778610694652675,Pr:0.5651511303022606,F1:0.5596076458752515,AUC:0.5631928742975959
TPR:0.6859277708592777,FPR:0.5699650174912544,Pr:0.5469712015888779,F1:0.6086187845303868,AUC:0.5579813766840117
TPR:0.5556662515566625,FPR:0.420039980009995,Pr:0.5702965235173824,F1:0.5628863378327236,AUC:0.5678131357733338
TPR:0.5088418430884184,FPR:0.3910544727636182,Pr:0.5662416851441242,F1:0.5360094451003542,AUC:0.5588936851624001
TPR:0.6044831880448319,FPR:0.44227886056971516,Pr:0.5782701929949964,F1:0.5910862152946906,AUC:0.5811021637375583
TPR:0.4704856787048568,FPR:0.3365817091454273,Pr:0.5837453646477132,F1:0.5210315818507791,AUC:0.5669519847797148
TPR:0.5885429638854296,FPR:0.45652173913043476,Pr:0.5639618138424821,F1:0.5759902498476538,AUC:0.5660106123774974
TPR:0.6797011207970112,FPR:0.55872063968016,Pr:0.5496475327291037,F1:0.6077951002227172,AUC:0.5604902405584257
TPR:0.5760896637608967,FPR:0.4460269865067466,Pr:0.5644216691068814,F1:0.5701959817576729,AUC:0.5650313386270751
