TPR:0.6640019985011242,FPR:0.3273542600896861,Pr:0.6691842900302115,F1:0.6665830721003135,AUC:0.668323869205719
TPR:0.712215838121409,FPR:0.37792725460886895,Pr:0.6527014652014652,F1:0.6811611515947916,AUC:0.66714429175627
TPR:0.6787409442917811,FPR:0.33432984554060785,Pr:0.6693766937669376,F1:0.6740262962044157,AUC:0.6722055493755866
TPR:0.683987009742693,FPR:0.3617339312406577,Pr:0.6534606205250597,F1:0.6683754424508728,AUC:0.6611265392510176
TPR:0.607044716462653,FPR:0.29621325361235673,Pr:0.671456203371097,F1:0.6376279191813172,AUC:0.6554157314251481
TPR:0.7009742692980265,FPR:0.3744394618834081,Pr:0.6511951728939429,F1:0.6751684311838306,AUC:0.6632674037073092
TPR:0.7154634024481639,FPR:0.3834080717488789,Pr:0.6504655916420622,F1:0.6814180347370926,AUC:0.6660276653496424
TPR:0.720459655258556,FPR:0.38266068759342303,Pr:0.6524886877828054,F1:0.684791641932803,AUC:0.6688994838325665
TPR:0.685236072945291,FPR:0.379920279023418,Pr:0.6426897844423618,F1:0.6632813444565347,AUC:0.6526578969609365
TPR:0.7272045965525855,FPR:0.4125560538116592,Pr:0.6373987300197066,F1:0.6793465577596266,AUC:0.657324271370463
TPR:0.7002248313764676,FPR:0.36522172396611857,Pr:0.6565940501288358,F1:0.6777079303675048,AUC:0.6675015537051745
TPR:0.7082188358730952,FPR:0.37369207772795215,Pr:0.6539792387543253,F1:0.6800191892540177,AUC:0.6672633790725715
TPR:0.6919810142393205,FPR:0.35226706527154955,Pr:0.6620458891013384,F1:0.6766825454989618,AUC:0.6698569744838855
TPR:0.6939795153634774,FPR:0.3547583457897359,Pr:0.661113755354593,F1:0.6771480804387568,AUC:0.6696105847868709
TPR:0.6335248563577317,FPR:0.32984554060787247,Pr:0.6569948186528497,F1:0.6450464199414981,AUC:0.6518396578749297
TPR:0.7289532850362228,FPR:0.40358744394618834,Pr:0.6430145438519171,F1:0.6832923545252312,AUC:0.6626829205450172
TPR:0.7039720209842618,FPR:0.39162929745889385,Pr:0.6419134396355353,F1:0.6715119742642679,AUC:0.656171361762684
TPR:0.6989757681738696,FPR:0.39461883408071746,Pr:0.6385212231857599,F1:0.6673822301729279,AUC:0.6521784670465761
TPR:0.6997252060954284,FPR:0.3923766816143498,Pr:0.6400822669104205,F1:0.6685762024107889,AUC:0.6536742622405393
TPR:0.6914813889582813,FPR:0.38938714499252614,Pr:0.6391133687370122,F1:0.6642668586513079,AUC:0.6510471219828775
TPR:0.6132900324756433,FPR:0.302192326856004,Pr:0.6693020719738277,F1:0.6400730022161387,AUC:0.6555488528098196
TPR:0.6927304521608794,FPR:0.3692077727952167,Pr:0.6517038777908343,F1:0.6715911843061273,AUC:0.6617613396828314
TPR:0.7132150886834874,FPR:0.3966118584952666,Pr:0.642005846638183,F1:0.6757396449704142,AUC:0.6583016150941103
TPR:0.6894828878341244,FPR:0.36223218734429496,Pr:0.6549596582819174,F1:0.6717780211756116,AUC:0.6636253502449148
TPR:0.7182113414938796,FPR:0.4115595416043846,Pr:0.6350784183786172,F1:0.6740914419695194,AUC:0.6533258999447474
TPR:0.7082188358730952,FPR:0.38988540109616343,Pr:0.6443181818181818,F1:0.6747590146376294,AUC:0.6591667173884659
TPR:0.6854858855858107,FPR:0.3667164922770304,Pr:0.650853889943074,F1:0.6677211339579023,AUC:0.6593846966543903
TPR:0.6842368223832126,FPR:0.3542600896860987,Pr:0.6582552271088681,F1:0.6709946104850564,AUC:0.664988366348557
TPR:0.7242068448663502,FPR:0.4133034379671151,Pr:0.636024572180781,F1:0.6772573297511972,AUC:0.6554517034496176
TPR:0.6744941294029478,FPR:0.3285999003487793,Pr:0.6718089076884797,F1:0.6731488406881077,AUC:0.6729471145270842
TPR:0.7119660254808894,FPR:0.3868958644743398,Pr:0.6472859414035884,F1:0.6780870806566738,AUC:0.6625350805032747
TPR:0.7067199600299775,FPR:0.38016940707523666,Pr:0.6495981630309988,F1:0.6769562096195261,AUC:0.6632752764773704
TPR:0.6849862603047714,FPR:0.3470353761833582,Pr:0.6631197097944377,F1:0.6738756451216514,AUC:0.6689754420607066
TPR:0.7152135898076443,FPR:0.38863976083707025,Pr:0.6472982138819806,F1:0.6795632565867553,AUC:0.6632869144852871
TPR:0.6799900074943792,FPR:0.3769307424015944,Pr:0.6427390791027154,F1:0.6608400097110949,AUC:0.6515296325463924
TPR:0.6927304521608794,FPR:0.38066766317887396,Pr:0.6447337828411998,F1:0.6678709055876686,AUC:0.6560313944910028
TPR:0.7262053459905071,FPR:0.4289985052316891,Pr:0.62799740764744,F1:0.6735403151065803,AUC:0.648603420379409
TPR:0.6665001249063203,FPR:0.3487792725460887,Pr:0.655850540806293,F1:0.6611324495105936,AUC:0.6588604261801158
TPR:0.7244566575068698,FPR:0.4063278525161933,Pr:0.6400353122930921,F1:0.6796344035622218,AUC:0.6590644024953383
TPR:0.7037222083437422,FPR:0.39511709018435476,Pr:0.6397910515557574,F1:0.6702355460385439,AUC:0.6543025590796936
TPR:0.7069697726704971,FPR:0.3936223218734429,Pr:0.6417233560090703,F1:0.6727683347200761,AUC:0.6566737253985271
TPR:0.7137147139645266,FPR:0.3896362730443448,Pr:0.6462338837367112,F1:0.6783000949667616,AUC:0.6620392204600909
TPR:0.6779915063702223,FPR:0.3811659192825112,Pr:0.6394910461828464,F1:0.6581787316599975,AUC:0.6484127935438555
TPR:0.7059705221084187,FPR:0.3976083707025411,Pr:0.6390773405698779,F1:0.6708605341246292,AUC:0.6541810757029388
TPR:0.6520109917561828,FPR:0.34728450423517687,Pr:0.6518481518481518,F1:0.6519295616335705,AUC:0.6523632437605029
TPR:0.7414439170622034,FPR:0.4526656701544594,Pr:0.6202716823406479,F1:0.6754665452890306,AUC:0.644389123453872
TPR:0.6977267049712715,FPR:0.3796711509715994,Pr:0.6469770674079222,F1:0.6713942307692308,AUC:0.6590277769998361
TPR:0.7069697726704971,FPR:0.4003487792725461,Pr:0.6378183457290962,F1:0.6706161137440758,AUC:0.6533104966989756
TPR:0.7144641518860855,FPR:0.4299950174389636,Pr:0.623637156563454,F1:0.6659680987309349,AUC:0.642234567223561
TPR:0.7234574069447914,FPR:0.40284005979073245,Pr:0.6417017504985597,F1:0.6801315171441993,AUC:0.6603086735770296
TPR:0.7067199600299775,FPR:0.3804185351270553,Pr:0.6494490358126722,F1:0.6768752243091279,AUC:0.6631507124514612
