TPR:0.6212121212121212,FPR:0.4557554843480404,Pr:0.5708981202135066,F1:0.5949933486515903,AUC:0.5827283184320403
TPR:0.5911616161616161,FPR:0.4333251170815874,Pr:0.5711149060746523,F1:0.580965380320139,AUC:0.5789182495400143
TPR:0.6012626262626263,FPR:0.42124722701503575,Pr:0.5821515892420538,F1:0.5915527950310558,AUC:0.5900076996237953
TPR:0.5411616161616162,FPR:0.37219620409169335,Pr:0.5866411168902272,F1:0.562984368842769,AUC:0.5844827060349614
TPR:0.580050505050505,FPR:0.4197683017007641,Pr:0.57425,F1:0.5771356783919599,AUC:0.5801411016748704
TPR:0.5949494949494949,FPR:0.4279023909292581,Pr:0.5757575757575758,F1:0.5851962245404869,AUC:0.5835235520101184
TPR:0.6924242424242424,FPR:0.513433571604634,Pr:0.5682901554404145,F1:0.624245873648264,AUC:0.5894953354098043
TPR:0.6007575757575757,FPR:0.4333251170815874,Pr:0.5750543872371283,F1:0.5876250463134495,AUC:0.5837162293379942
TPR:0.6547979797979798,FPR:0.5775203352230712,Pr:0.5253241491085899,F1:0.5829586330935251,AUC:0.5386388222874543
TPR:0.5136363636363637,FPR:0.3495193492728617,Pr:0.5892236384704519,F1:0.5488397193739881,AUC:0.582058507181751
TPR:0.6085858585858586,FPR:0.4483608577766823,Pr:0.5698746748640341,F1:0.5885944559775309,AUC:0.5801125004045882
TPR:0.5737373737373738,FPR:0.40990879960561993,Pr:0.5773824650571792,F1:0.5755541481950602,AUC:0.581914287065877
TPR:0.6848484848484848,FPR:0.5173773724426917,Pr:0.5637081687798794,F1:0.6184015505643599,AUC:0.5837355562028965
TPR:0.5866161616161616,FPR:0.4145920631008134,Pr:0.5800249687890138,F1:0.5833019460138105,AUC:0.5860120492576741
TPR:0.5325757575757576,FPR:0.37318215430120777,Pr:0.582114269942037,F1:0.556244230515627,AUC:0.579696801637275
TPR:0.6858585858585858,FPR:0.5210746857283707,Pr:0.5623188405797102,F1:0.6179749715585894,AUC:0.5823919500651076
TPR:0.6088383838383838,FPR:0.4343110672911018,Pr:0.5777618020608675,F1:0.5928931513586622,AUC:0.587263658273641
TPR:0.5333333333333333,FPR:0.3914222331772246,Pr:0.5708108108108109,F1:0.5514360313315927,AUC:0.5709555500780543
TPR:0.5676767676767677,FPR:0.4039930983485334,Pr:0.5783380499099563,F1:0.5729578182744999,AUC:0.5818418346641172
TPR:0.5803030303030303,FPR:0.4131131377865418,Pr:0.5782586814292904,F1:0.5792790521804889,AUC:0.5835949462582443
TPR:0.5808080808080808,FPR:0.42666995316736506,Pr:0.5705780203423468,F1:0.5756476035539982,AUC:0.5770690638203579
TPR:0.5141414141414141,FPR:0.3603648015775203,Pr:0.5820468839336764,F1:0.5459908822740681,AUC:0.5768883062819469
TPR:0.5313131313131313,FPR:0.36135075178703474,Pr:0.5893557422969188,F1:0.5588313413014607,AUC:0.5849811897630484
TPR:0.49696969696969695,FPR:0.3347300961301454,Pr:0.5917017438364401,F1:0.5402141092506176,AUC:0.5811198004197758
TPR:0.5654040404040404,FPR:0.4074439240818339,Pr:0.5752826310380267,F1:0.5703005603667856,AUC:0.5789800581611032
TPR:0.5338383838383839,FPR:0.3601183140251417,Pr:0.5913286713286713,F1:0.561114797611148,AUC:0.5868600349066211
TPR:0.5714646464646465,FPR:0.41557801331032784,Pr:0.5730564699924031,F1:0.5722594512580605,AUC:0.5779433165771594
TPR:0.5863636363636363,FPR:0.40966231205324133,Pr:0.5828313253012049,F1:0.5845921450151057,AUC:0.5883506621551975
TPR:0.6002525252525253,FPR:0.43036726645304413,Pr:0.5765219500363813,F1:0.5881479648645306,AUC:0.5849426293997406
TPR:0.49797979797979797,FPR:0.34113877249198915,Pr:0.5876042908224076,F1:0.5390924002186988,AUC:0.5784205127439044
TPR:0.5318181818181819,FPR:0.37786541779640126,Pr:0.5787304204451772,F1:0.5542834583497829,AUC:0.5769763820108903
TPR:0.5878787878787879,FPR:0.41607098841508505,Pr:0.5796812749003984,F1:0.5837512537612839,AUC:0.5859038997318514
TPR:0.49823232323232325,FPR:0.3339906334730096,Pr:0.5928485576923077,F1:0.5414379802414929,AUC:0.5821208448796569
