TPR:0.7182569496619083,FPR:0.49652087475149104,Pr:0.5893958076448829,F1:0.6474771418896039,AUC:0.6108680374552087
TPR:0.6641622839969947,FPR:0.4294234592445328,Pr:0.6054794520547945,F1:0.6334647079899677,AUC:0.617369412376231
TPR:0.7405459554219885,FPR:0.5243538767395626,Pr:0.5835800276297612,F1:0.6527593818984547,AUC:0.608096039341213
TPR:0.6937139994991235,FPR:0.4418489065606362,Pr:0.6090589270008795,F1:0.6486359911017445,AUC:0.6259325464692437
TPR:0.6789381417480591,FPR:0.4341451292246521,Pr:0.6081202332884702,F1:0.6415808780026032,AUC:0.6223965062617035
TPR:0.6804407713498623,FPR:0.43240556660039764,Pr:0.6096028718869194,F1:0.643076923076923,AUC:0.6240176023747322
TPR:0.6476333583771601,FPR:0.4058151093439364,Pr:0.6129414553211662,F1:0.6298100340964443,AUC:0.6209091245166118
TPR:0.742549461557726,FPR:0.49105367793240556,Pr:0.6000809552722121,F1:0.6637564360868592,AUC:0.6257478918126603
TPR:0.7152516904583021,FPR:0.4922962226640159,Pr:0.5904486251808972,F1:0.646885617214043,AUC:0.611477733897143
TPR:0.7708489857250188,FPR:0.5504473161033797,Pr:0.5815227659172492,F1:0.6629334482015938,AUC:0.6102008348108197
TPR:0.6646631605309291,FPR:0.43339960238568587,Pr:0.603456116416553,F1:0.6325825289000119,AUC:0.6156317790726216
TPR:0.6932131229651891,FPR:0.45974155069582506,Pr:0.599393676916414,F1:0.6428986180466845,AUC:0.616735786134682
TPR:0.6771850738792887,FPR:0.42718687872763417,Pr:0.6113497626045671,F1:0.6425855513307985,AUC:0.6249990975758273
TPR:0.7352867518156775,FPR:0.503727634194831,Pr:0.5915776747934717,F1:0.6556498436802144,AUC:0.6157795588104232
TPR:0.7741046831955923,FPR:0.5315606361829026,Pr:0.5910133843212237,F1:0.6702808196899057,AUC:0.6212720235063449
TPR:0.7119959929877285,FPR:0.477882703777336,Pr:0.5965169953839697,F1:0.6491608631122274,AUC:0.6170566446051962
TPR:0.6869521662910093,FPR:0.43737574552683894,Pr:0.6091494559182767,F1:0.6457156308851225,AUC:0.6247882103820851
TPR:0.7377911344853494,FPR:0.48732604373757454,Pr:0.6003668229060526,F1:0.6620224719101123,AUC:0.6252325453738874
TPR:0.7871274730778863,FPR:0.5561630218687873,Pr:0.5840921761754321,F1:0.6705781950074675,AUC:0.6154822256045496
TPR:0.7460555972952667,FPR:0.5362823061630219,Pr:0.5799104535721238,F1:0.6525739320920043,AUC:0.6048866455661224
TPR:0.7250187828700225,FPR:0.4878230616302187,Pr:0.5959242486620008,F1:0.6541633713704665,AUC:0.6185978606199019
TPR:0.6781868269471575,FPR:0.4194831013916501,Pr:0.6160145586897179,F1:0.6456073429490999,AUC:0.6293518627777537
TPR:0.5887803656398698,FPR:0.3397117296222664,Pr:0.6323292092522862,F1:0.6097782388795229,AUC:0.6245343180088017
TPR:0.6516403706486351,FPR:0.38767395626242546,Pr:0.6251802018260452,F1:0.6381361128142243,AUC:0.6319832071931049
TPR:0.6481342349110945,FPR:0.4500497017892644,Pr:0.5883155262559673,F1:0.6167778836987607,AUC:0.599042266560915
TPR:0.6736789381417481,FPR:0.4614811133200795,Pr:0.5915988563888278,F1:0.629976580796253,AUC:0.6060989124108342
TPR:0.7222639619333834,FPR:0.477882703777336,Pr:0.5999583940087373,F1:0.6554545454545455,AUC:0.6221906290780237
TPR:0.7851239669421488,FPR:0.5656063618290258,Pr:0.5793753465163556,F1:0.6667375584857508,AUC:0.6097588025565616
TPR:0.7175056348610067,FPR:0.4647117296222664,Pr:0.6050686378035903,F1:0.6565077910174152,AUC:0.6263969526193701
TPR:0.7007262709742048,FPR:0.4507952286282306,Pr:0.6066782307025151,F1:0.6503195816385822,AUC:0.6249655211729871
TPR:0.5396944653143,FPR:0.3076540755467197,Pr:0.6351311523725317,F1:0.5835364202545356,AUC:0.6160201948837902
TPR:0.7578261958427248,FPR:0.5161530815109344,Pr:0.5929845189104448,F1:0.6653474054529463,AUC:0.6208365571658951
TPR:0.7157525669922364,FPR:0.448558648111332,Pr:0.6129101436843234,F1:0.660351201478743,AUC:0.6335969594404522
TPR:0.7072376659153519,FPR:0.45651093439363816,Pr:0.6058785668311522,F1:0.652646175179108,AUC:0.6253633657608568
TPR:0.7615827698472326,FPR:0.5196322067594433,Pr:0.5925565081839439,F1:0.6665205479452054,AUC:0.6209752815438947
TPR:0.7480591034310042,FPR:0.5049701789264414,Pr:0.5951384737995616,F1:0.6628939192188192,AUC:0.6215444622522814
TPR:0.7207613323315802,FPR:0.45974155069582506,Pr:0.6087140439932318,F1:0.6600160532049076,AUC:0.6305098908178776
TPR:0.7157525669922364,FPR:0.4587475149105368,Pr:0.6075680272108843,F1:0.657238128090146,AUC:0.6285025260408499
TPR:0.7405459554219885,FPR:0.4826043737574553,Pr:0.603592569912227,F1:0.6650922177237967,AUC:0.6289707908322667
TPR:0.6624092161282243,FPR:0.38543737574552683,Pr:0.6303622497616778,F1:0.645988521186958,AUC:0.6384859201913489
TPR:0.6188329576759329,FPR:0.3610834990059642,Pr:0.6297145769622834,F1:0.6242263483642795,AUC:0.6288747293349845
TPR:0.7265214124718257,FPR:0.48682902584493043,Pr:0.5969135802469135,F1:0.6553710606574042,AUC:0.6198461933134476
TPR:0.7570748810418232,FPR:0.5086978131212724,Pr:0.5962524654832347,F1:0.667108021626393,AUC:0.6241885339602755
TPR:0.7079889807162535,FPR:0.46123260437375746,Pr:0.6036728592782404,F1:0.6516828031350853,AUC:0.623378188171248
TPR:0.6591535186576509,FPR:0.4162524850894632,Pr:0.611098212212677,F1:0.6342168674698796,AUC:0.6214505167840938
TPR:0.7280240420736288,FPR:0.49254473161033796,Pr:0.5946001227244835,F1:0.6545823012834946,AUC:0.6177396552316454
TPR:0.7470573503631355,FPR:0.47813121272365805,Pr:0.6079070715304666,F1:0.6703370786516853,AUC:0.6344630688197387
TPR:0.667167543200601,FPR:0.4028330019880716,Pr:0.6217036172695449,F1:0.643633727953612,AUC:0.6321672706062647
TPR:0.6148259454044578,FPR:0.35685884691848907,Pr:0.6309432022616294,F1:0.6227803145611365,AUC:0.6289835492429845
TPR:0.6879539193588781,FPR:0.42147117296222664,Pr:0.6182759396803962,F1:0.6512565196775724,AUC:0.6332413731983257
