TPR:0.7417851888180481,FPR:0.6133536430566133,Pr:0.5559639772100716,F1:0.6355709633364849,AUC:0.5642157728807173
TPR:0.7106424717999019,FPR:0.528052805280528,Pr:0.5821615106468461,F1:0.6400176678445229,AUC:0.5912948332596869
TPR:0.6699362432564983,FPR:0.4694084793094694,Pr:0.5963763370443135,F1:0.6310197482388267,AUC:0.6002638819735144
TPR:0.6770475723393821,FPR:0.47042396547347043,Pr:0.5983961855223233,F1:0.6352968246663598,AUC:0.6033118034329558
TPR:0.7197155468366846,FPR:0.5227215029195227,Pr:0.5877052462955547,F1:0.6470458553791887,AUC:0.598497021958581
TPR:0.708680725846003,FPR:0.5102817974105103,Pr:0.5897959183673469,F1:0.6437959456449098,AUC:0.5991994642177464
TPR:0.6336439431093673,FPR:0.4391977659304392,Pr:0.5989800649049606,F1:0.6158245948522403,AUC:0.597223088589464
TPR:0.7177538008827857,FPR:0.5135821274435136,Pr:0.5913131313131313,F1:0.6484271156402305,AUC:0.602085836719636
TPR:0.7003433055419324,FPR:0.4815943132774816,Pr:0.6008836524300442,F1:0.6468123655305175,AUC:0.6093744961322254
TPR:0.6257969592937714,FPR:0.46331556232546334,Pr:0.5830477496001828,F1:0.6036664695446481,AUC:0.581240698484154
TPR:0.7719470328592447,FPR:0.5790809850215791,Pr:0.5798489592926874,F1:0.6622488692542337,AUC:0.5964330239188328
TPR:0.7349190779794017,FPR:0.5481086570195481,Pr:0.5812645461598138,F1:0.6491228070175439,AUC:0.5934052104799268
TPR:0.7103972535556645,FPR:0.5067275958365067,Pr:0.5920703045166564,F1:0.6458588786088507,AUC:0.601834828859579
TPR:0.6841589014222658,FPR:0.48717948717948717,Pr:0.5924824803567637,F1:0.6350290201433936,AUC:0.5984897071213893
TPR:0.7062285434036293,FPR:0.4922569179994923,Pr:0.5976343639759286,F1:0.6474092390693492,AUC:0.6069858127020685
TPR:0.5750367827366356,FPR:0.3927392739273927,Pr:0.6025179856115108,F1:0.588456712672522,AUC:0.5911487544046214
TPR:0.7187346738597352,FPR:0.5013962934755014,Pr:0.5974317162657969,F1:0.652493321460374,AUC:0.6086691901921168
TPR:0.7354095144678764,FPR:0.5349073368875349,Pr:0.5873482177830004,F1:0.6530923344947734,AUC:0.6002510887901708
TPR:0.6461500735654733,FPR:0.4414826097994415,Pr:0.6024234110653863,F1:0.6235210601041173,AUC:0.6023337318830159
TPR:0.7783227072094164,FPR:0.588981975120589,Pr:0.5777211503458318,F1:0.6631842875052236,AUC:0.5946703660444137
TPR:0.7143207454634625,FPR:0.5194211728865195,Pr:0.5874168179068361,F1:0.6446829700121722,AUC:0.5974497862884715
TPR:0.6775380088278568,FPR:0.490987560294491,Pr:0.5882478177560144,F1:0.6297435897435897,AUC:0.5932752242666829
TPR:0.7206964198136341,FPR:0.5153592282305154,Pr:0.59146709599517,F1:0.6497181386094838,AUC:0.6026685957915593
TPR:0.6120647376164786,FPR:0.4407209951764407,Pr:0.5897920604914934,F1:0.6007220216606498,AUC:0.585671871220019
