TPR:0.6784452296819788,FPR:0.39309494451294696,Pr:0.6277440448388604,F1:0.6521106259097526,AUC:0.6426751425845159
TPR:0.6953558808682484,FPR:0.4342786683107275,Pr:0.6100531443755536,F1:0.6499174333569239,AUC:0.6305386062787605
TPR:0.6208985360928824,FPR:0.36399506781750923,Pr:0.625,F1:0.6229425170929349,AUC:0.6284517341376865
TPR:0.610550227158001,FPR:0.34204685573366217,Pr:0.6355754072517078,F1:0.6228115345005149,AUC:0.6342516857121693
TPR:0.6751640585562847,FPR:0.40887792848335386,Pr:0.6173551811677821,F1:0.6449668474984931,AUC:0.6331430650364653
TPR:0.6486622917718324,FPR:0.37879161528976574,Pr:0.6259132976132489,F1:0.6370847793753099,AUC:0.6349353382410333
TPR:0.6486622917718324,FPR:0.36794081381011096,Pr:0.6326932545544067,F1:0.6405782652043869,AUC:0.6403607389808607
TPR:0.7468450277637557,FPR:0.4759556103575832,Pr:0.6052362446308038,F1:0.668625014122698,AUC:0.6354447087030862
TPR:0.7327107521453812,FPR:0.4409371146732429,Pr:0.6188445960349606,F1:0.6709811626025656,AUC:0.6458868187360691
TPR:0.6597677940434125,FPR:0.37706535141800246,Pr:0.6309437605599807,F1:0.6450339296730414,AUC:0.6413512213127049
TPR:0.7410398788490661,FPR:0.4707768187422935,Pr:0.605985552115583,F1:0.6667423640286134,AUC:0.6351315300533863
TPR:0.6761736496718829,FPR:0.3975339087546239,Pr:0.6243299930086227,F1:0.6492184660123591,AUC:0.6393198704586294
TPR:0.668854114083796,FPR:0.4066584463625154,Pr:0.6164224238194929,F1:0.641568817334463,AUC:0.6310978338606403
TPR:0.7271580010095912,FPR:0.4522811344019729,Pr:0.6110286320254507,F1:0.6640543966808805,AUC:0.6374384333038092
TPR:0.657243816254417,FPR:0.36078914919852034,Pr:0.6402753872633391,F1:0.6486486486486486,AUC:0.6482273335279484
TPR:0.6393235739525492,FPR:0.3336621454993835,Pr:0.6518270715388574,F1:0.6455147808358818,AUC:0.6528307142265828
TPR:0.6453811206461383,FPR:0.3758323057953144,Pr:0.6265621171281549,F1:0.6358324008454557,AUC:0.634774407425412
TPR:0.6625441696113075,FPR:0.3797780517879161,Pr:0.6302521008403361,F1:0.6459948320413437,AUC:0.6413830589116957
TPR:0.6971226653205452,FPR:0.40715166461159064,Pr:0.6258780874688421,F1:0.6595820895522388,AUC:0.6449855003544772
TPR:0.6769308430085815,FPR:0.38964241676942046,Pr:0.6292820272172689,F1:0.6522373540856031,AUC:0.6436442131195805
TPR:0.6981322564361434,FPR:0.394327990135635,Pr:0.6336769759450172,F1:0.6643449021256155,AUC:0.6519021331502542
TPR:0.6781928319030792,FPR:0.45376078914919854,Pr:0.593549812237685,F1:0.6330545411709271,AUC:0.6122160213769403
TPR:0.7269056032306915,FPR:0.46732429099876693,Pr:0.6031413612565445,F1:0.6592651940025179,AUC:0.6297906561159623
TPR:0.6971226653205452,FPR:0.4831072749691739,Pr:0.5850455411988985,F1:0.636185650120926,AUC:0.6070076951756858
TPR:0.701665825340737,FPR:0.41775585696670775,Pr:0.62136790344211,F1:0.6590801327643432,AUC:0.6419549841870147
TPR:0.6380615850580514,FPR:0.349691738594328,Pr:0.6406487582361885,F1:0.639352554375316,AUC:0.6441849232318617
TPR:0.6580010095911156,FPR:0.38273736128236746,Pr:0.626833373407069,F1:0.6420391577391947,AUC:0.637631824154374
TPR:0.7534073700151439,FPR:0.4727496917385943,Pr:0.6089351285189718,F1:0.6735108303249098,AUC:0.6403288391382749
TPR:0.6903079252902574,FPR:0.4130702836004932,Pr:0.6201814058956916,F1:0.6533683707596751,AUC:0.6386188208448822
TPR:0.7314487632508834,FPR:0.45400739827373615,Pr:0.6115214180206795,F1:0.666130329847144,AUC:0.6387206824885736
TPR:0.729429581019687,FPR:0.4816276202219482,Pr:0.5967375593640306,F1:0.6564452015900057,AUC:0.6239009803988693
TPR:0.6895507319535588,FPR:0.41972872996300864,Pr:0.6161479476770411,F1:0.6507860886136255,AUC:0.6349110009952751
TPR:0.677183240787481,FPR:0.4187422934648582,Pr:0.6124172563341703,F1:0.6431739182548244,AUC:0.6292204736613114
TPR:0.7031802120141343,FPR:0.4256473489519112,Pr:0.6174645390070922,F1:0.6575407127684683,AUC:0.6387664315311115
TPR:0.6468955073195356,FPR:0.38273736128236746,Pr:0.6228432563791009,F1:0.6346415748421443,AUC:0.632079073018584
TPR:0.6403331650681474,FPR:0.3750924784217016,Pr:0.6251848201084278,F1:0.6326683291770574,AUC:0.6326203433232229
TPR:0.7112569409389198,FPR:0.45006165228113443,Pr:0.6069351712255008,F1:0.6549680418361418,AUC:0.6305976443288926
TPR:0.704442200908632,FPR:0.45006165228113443,Pr:0.604636048526863,F1:0.6507344369316858,AUC:0.6271902743137487
TPR:0.7195860676426048,FPR:0.4596794081381011,Pr:0.6046659597030752,F1:0.6571395643655642,AUC:0.6299533297522519
TPR:0.7258960121150934,FPR:0.4668310727496917,Pr:0.6030614384566996,F1:0.6588019699919826,AUC:0.6295324696827008
TPR:0.7026754164563351,FPR:0.43625154130702837,Pr:0.6114649681528662,F1:0.6539048737522019,AUC:0.6332119375746534
TPR:0.7332155477031802,FPR:0.48532675709001233,Pr:0.5961420069772214,F1:0.6576117713638936,AUC:0.6239443953065839
TPR:0.6733972741039879,FPR:0.4083847102342787,Pr:0.6170212765957447,F1:0.6439777938691769,AUC:0.6325062819348546
TPR:0.7082281675921251,FPR:0.46066584463625154,Pr:0.6003423192126658,F1:0.6498378879110699,AUC:0.6237811614779368
TPR:0.6446239273094396,FPR:0.3775585696670777,Pr:0.6252141982864137,F1:0.6347707220082018,AUC:0.633532678821181
TPR:0.6499242806663301,FPR:0.3782983970406905,Pr:0.6266731564857629,F1:0.638086978069632,AUC:0.6358129418128198
TPR:0.7120141342756183,FPR:0.42909987669543775,Pr:0.6185047138785355,F1:0.6619734835151942,AUC:0.6414571287900903
TPR:0.7180716809692075,FPR:0.44833538840937115,Pr:0.6101222389019945,F1:0.6597101449275362,AUC:0.6348681462799182
TPR:0.7549217566885411,FPR:0.48557336621454994,Pr:0.6030241935483871,F1:0.6704774714189644,AUC:0.6346741952369956
TPR:0.7089853609288238,FPR:0.44118372379778054,Pr:0.6109177903436277,F1:0.6563084112149533,AUC:0.6339008185655217
TPR:0.6554770318021201,FPR:0.38298397040690507,Pr:0.6257831325301205,F1:0.6402859960552268,AUC:0.6362465306976075
